# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 35 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4897909000e+03    1.1606707900e-02
2.4894921000e+03    3.1936721000e-03
2.4889506000e+03    8.0132190000e-04
2.4885554000e+03    2.5420015000e-03
2.4880277000e+03    2.4004080000e-04
2.4874991000e+03    9.3280600000e-05
2.4867359000e+03    4.9839495000e-03
2.4859258000e+03    1.5639235400e-02
2.4857246000e+03    5.3548160000e-03
2.4848882000e+03    7.3111159000e-03
2.4846794000e+03    2.6375124000e-03
2.4845422000e+03    1.4286397600e-02
2.4838962000e+03    8.2059460000e-03
2.4831941000e+03    5.0476459000e-03
2.4822067000e+03    1.9082697000e-03
2.4808325000e+03    5.1561220000e-03
2.4804426000e+03    8.4917730000e-04
2.4779871000e+03    5.1948740000e-04
2.4760369000e+03    3.2881543000e-03
2.4739511000e+03    1.9482484000e-03
2.4729713000e+03    2.3392470000e-04
2.4686490000e+03    1.9664810000e-03
2.4678713000e+03    1.4725622000e-03
2.4676536000e+03    1.1723740000e-03
2.3172604000e+03    6.2351240330e-01
2.3171928000e+03    3.7370018900e-01
2.3171733000e+03    6.0822854160e-01
2.2670859000e+03    2.7503900000e-05
2.2167137000e+03    7.0000000000e-10
2.2161880000e+03    0.0000000000e+00
2.2158658000e+03    0.0000000000e+00
2.2144365000e+03    1.0000000000e-10
2.1035993000e+03    0.0000000000e+00
1.9744947000e+03    0.0000000000e+00
1.9736886000e+03    1.0000000000e-10
