# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4221422000e+03    4.7922899000e-03
2.4224201000e+03    3.3794129000e-03
2.4240574000e+03    1.9818605000e-03
2.4244195000e+03    4.3613540000e-04
2.4251075000e+03    1.9687100000e-05
2.4252594000e+03    3.6641700000e-05
2.4254676000e+03    1.5637990000e-04
2.4256329000e+03    1.8286740000e-04
2.4260305000e+03    2.0140000000e-05
2.4262857000e+03    2.5128340000e-04
2.4264815000e+03    1.7794800000e-04
2.4266328000e+03    3.5128670000e-04
2.4267799000e+03    1.2877380000e-04
2.4271016000e+03    9.5064100000e-05
2.4272669000e+03    1.3569160000e-04
2.4274179000e+03    1.6129620000e-04
2.4276289000e+03    9.4437000000e-05
2.4278161000e+03    2.7857130000e-04
2.4281595000e+03    1.5274870000e-04
2.4282682000e+03    4.4715440000e-04
2.4286303000e+03    1.1276759000e-03
2.4289501000e+03    1.5879102000e-03
2.4291668000e+03    6.2241000000e-05
2.4293793000e+03    5.3868830000e-04
2.4295417000e+03    1.1265993000e-03
2.4302267000e+03    3.0894340000e-04
2.4303599000e+03    6.8279370000e-04
2.4307301000e+03    5.3043800000e-04
2.4308634000e+03    2.0701250000e-04
2.4310742000e+03    1.4414015000e-03
2.4315812000e+03    7.1755110000e-04
2.4318760000e+03    4.1561160000e-04
2.4322101000e+03    2.0522290000e-04
2.4323072000e+03    3.8255070000e-04
2.4326218000e+03    1.2187200000e-04
2.4327676000e+03    9.4530500000e-05
2.4331681000e+03    2.7860080000e-04
2.4333328000e+03    2.9909800000e-05
2.4337324000e+03    1.6966090000e-04
2.4339564000e+03    2.1218950000e-04
2.4349337000e+03    4.7278220000e-04
2.4351390000e+03    2.6853500000e-05
2.4355432000e+03    7.2453280000e-04
2.4357857000e+03    3.7093980000e-04
2.4368491000e+03    6.4040730000e-04
2.4374017000e+03    1.4226020000e-04
2.4375890000e+03    4.0134370000e-04
2.4379019000e+03    4.8580310000e-04
2.4380920000e+03    1.1520660000e-04
2.4384976000e+03    1.4382820000e-04
