# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 87 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4900517000e+03    1.2552530000e-04
2.4895401000e+03    2.0771950000e-02
2.4892104000e+03    5.7650557000e-03
2.4888762000e+03    1.0634603300e-02
2.4881496000e+03    5.6862494000e-03
2.4881329000e+03    5.3266290000e-04
2.4880234000e+03    2.5933000000e-06
2.4876884000e+03    2.3109670000e-04
2.4876473000e+03    5.7538300000e-05
2.4875848000e+03    2.1052633000e-03
2.4873875000e+03    5.2384230000e-04
2.4872526000e+03    3.9538211000e-03
2.4871577000e+03    4.2863570000e-04
2.4868077000e+03    3.7286730000e-04
2.4866468000e+03    1.5509900000e-05
2.4865498000e+03    2.0956340000e-04
2.4863233000e+03    6.4500005000e-03
2.4861710000e+03    8.7221400000e-04
2.4859441000e+03    3.7203526000e-03
2.4857621000e+03    5.4100457000e-03
2.4856208000e+03    7.8647926000e-03
2.4855113000e+03    1.0080149400e-02
2.4854201000e+03    3.2113718000e-03
2.4853233000e+03    1.0819893900e-02
2.4850981000e+03    3.0128060000e-04
2.4849431000e+03    2.1256092800e-02
2.4847847000e+03    1.5539021600e-02
2.4844847000e+03    2.2322773000e-03
2.4841008000e+03    1.2794579700e-02
2.4840309000e+03    6.2186626000e-03
2.4839527000e+03    2.7575673000e-03
2.4837586000e+03    1.2092326700e-02
2.4837482000e+03    4.7283567000e-03
2.4835602000e+03    8.8420507000e-03
2.4834882000e+03    7.4853349000e-03
2.4832676000e+03    3.2758526000e-03
2.4826953000e+03    1.4609951000e-02
2.4825484000e+03    2.0376832300e-02
2.4821529000e+03    2.0472799000e-03
2.4813341000e+03    9.7405770000e-04
2.4807087000e+03    6.6249300000e-05
2.4805177000e+03    7.1905160000e-04
2.4803024000e+03    1.1716770000e-04
2.4796254000e+03    1.4753560000e-03
2.4790481000e+03    1.3446590000e-04
2.4788051000e+03    3.0061070000e-04
2.4786903000e+03    2.9281930000e-04
2.4785263000e+03    4.2620611000e-03
2.4772590000e+03    4.9147430000e-04
2.4765618000e+03    5.7780292000e-03
2.4755701000e+03    2.6676900000e-05
2.4753609000e+03    3.4899260000e-04
2.4752862000e+03    1.8806320000e-04
2.4748066000e+03    4.2864104000e-03
2.4743586000e+03    5.7067400000e-04
2.4732622000e+03    6.1364300000e-05
2.4726822000e+03    1.1022320000e-03
2.4723494000e+03    3.4430062000e-03
2.4716158000e+03    2.2345640000e-04
2.4692692000e+03    5.8548700000e-05
2.4678586000e+03    7.9090302000e-03
2.4670052000e+03    2.5486000000e-06
2.3172190000e+03    9.7595971240e-01
2.3171615000e+03    1.6635910340e+00
2.3171330000e+03    1.6956463383e+00
2.2670478000e+03    2.3828900000e-05
2.2193853000e+03    0.0000000000e+00
2.2187923000e+03    0.0000000000e+00
2.2185052000e+03    0.0000000000e+00
2.2182502000e+03    0.0000000000e+00
2.2182449000e+03    1.0000000000e-10
2.2181410000e+03    0.0000000000e+00
2.2180661000e+03    0.0000000000e+00
2.2178309000e+03    0.0000000000e+00
2.2178279000e+03    0.0000000000e+00
2.2174889000e+03    0.0000000000e+00
2.2174595000e+03    0.0000000000e+00
2.2170737000e+03    0.0000000000e+00
2.2168152000e+03    0.0000000000e+00
2.2163599000e+03    3.0000000000e-10
2.2162906000e+03    0.0000000000e+00
2.2161298000e+03    8.0000000000e-10
2.2160844000e+03    0.0000000000e+00
2.2150301000e+03    1.0000000000e-10
2.1033741000e+03    0.0000000000e+00
1.9745506000e+03    0.0000000000e+00
1.9736822000e+03    2.0000000000e-10
