# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4221846000e+03    4.0744423000e-03
2.4224056000e+03    4.5691269000e-03
2.4236036000e+03    1.3526515000e-03
2.4242357000e+03    2.3962200000e-05
2.4244410000e+03    1.6905900000e-05
2.4245472000e+03    4.4703520000e-04
2.4248317000e+03    4.2661790000e-04
2.4249146000e+03    1.8025870000e-04
2.4250945000e+03    5.2153500000e-05
2.4256675000e+03    9.0220600000e-05
2.4257897000e+03    6.6672800000e-05
2.4258975000e+03    2.3839090000e-04
2.4260491000e+03    4.3488820000e-04
2.4262295000e+03    1.3279250000e-04
2.4265834000e+03    4.7355700000e-05
2.4266554000e+03    8.6786500000e-05
2.4267311000e+03    5.4945900000e-05
2.4267986000e+03    1.0303740000e-04
2.4270264000e+03    1.8737300000e-05
2.4272276000e+03    8.7183700000e-05
2.4273147000e+03    2.3655280000e-04
2.4274390000e+03    1.0448650000e-04
2.4275525000e+03    4.1493800000e-05
2.4278472000e+03    4.0540900000e-05
2.4280603000e+03    3.2342250000e-04
2.4284458000e+03    1.2955592000e-03
2.4285020000e+03    1.1417580000e-04
2.4286604000e+03    9.4180300000e-05
2.4290150000e+03    1.3624959000e-03
2.4290545000e+03    7.3951500000e-05
2.4294054000e+03    1.0345320000e-04
2.4298981000e+03    4.1506110000e-04
2.4300996000e+03    3.0235430000e-04
2.4303217000e+03    4.8294010000e-04
2.4306032000e+03    3.3164090000e-04
2.4308714000e+03    1.0463780000e-04
2.4312797000e+03    9.9153890000e-04
2.4314421000e+03    1.0726914000e-03
2.4317095000e+03    1.2821353000e-03
2.4318220000e+03    2.6212600000e-05
2.4321718000e+03    3.3346010000e-04
2.4325725000e+03    2.4046650000e-04
2.4327346000e+03    5.1883740000e-04
2.4327695000e+03    5.1339400000e-04
2.4329712000e+03    5.3059000000e-06
2.4331327000e+03    1.1978790000e-04
2.4333704000e+03    2.9678100000e-05
2.4334395000e+03    3.5044480000e-04
2.4338276000e+03    2.1262280000e-04
2.4339412000e+03    3.1310100000e-05
