# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 28 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4893624000e+03    2.0494645000e-03
2.4882800000e+03    4.2509340000e-04
2.4862287000e+03    1.1217873000e-03
2.4861840000e+03    3.3559560000e-04
2.4860407000e+03    1.4662982000e-03
2.4856729000e+03    1.0780602000e-03
2.4855223000e+03    2.1075000000e-06
2.4853775000e+03    1.7668342000e-03
2.4843894000e+03    5.0252200000e-05
2.4840564000e+03    2.4025836000e-03
2.4832289000e+03    5.1918500000e-05
2.4827768000e+03    2.1181540000e-03
2.4825438000e+03    5.3087610000e-04
2.4795031000e+03    5.3302700000e-05
2.4787102000e+03    2.0459020000e-04
2.4768063000e+03    2.3694710000e-04
2.4743285000e+03    1.9530720000e-04
2.4733777000e+03    3.9680370000e-04
2.4679179000e+03    4.8525770000e-04
2.3172162000e+03    8.9241826000e-02
2.3171507000e+03    8.9638197100e-02
2.3171329000e+03    8.9552908600e-02
2.2670467000e+03    2.5619000000e-06
2.2182214000e+03    0.0000000000e+00
2.2182213000e+03    0.0000000000e+00
2.2163341000e+03    1.0000000000e-10
2.2163339000e+03    1.0000000000e-10
1.9737407000e+03    0.0000000000e+00
