# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 87 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4907144000e+03    9.1505300000e-05
2.4894988000e+03    3.6305800000e-05
2.4892053000e+03    2.0450592000e-03
2.4885857000e+03    2.7033890000e-04
2.4885117000e+03    5.2300000000e-08
2.4882702000e+03    9.6199500000e-05
2.4881103000e+03    2.2059840000e-04
2.4879629000e+03    9.4380000000e-07
2.4877656000e+03    2.0336200000e-05
2.4875123000e+03    6.7328000000e-06
2.4872729000e+03    1.3193500000e-05
2.4867614000e+03    2.8089000000e-05
2.4866820000e+03    1.5874000000e-06
2.4866207000e+03    4.3066660000e-04
2.4865246000e+03    1.2277770000e-04
2.4863559000e+03    2.1793900000e-05
2.4861973000e+03    2.7088270000e-04
2.4860326000e+03    1.2994130000e-04
2.4859662000e+03    5.3621550000e-04
2.4858977000e+03    1.3921910000e-04
2.4858223000e+03    4.8316280000e-04
2.4857239000e+03    6.2591240000e-04
2.4855815000e+03    4.9982010000e-04
2.4854840000e+03    1.5633870000e-04
2.4853252000e+03    1.1507400000e-03
2.4851993000e+03    3.8012600000e-04
2.4850565000e+03    4.7523250000e-04
2.4846801000e+03    3.5745600000e-05
2.4844899000e+03    1.9792770000e-04
2.4843417000e+03    1.6275370000e-04
2.4841442000e+03    1.6518840000e-04
2.4840524000e+03    8.5553500000e-05
2.4838822000e+03    1.7664101000e-03
2.4836089000e+03    2.1852110000e-04
2.4831571000e+03    4.1505240000e-04
2.4829403000e+03    1.0909853000e-03
2.4824959000e+03    4.3449870000e-04
2.4823218000e+03    1.9307180000e-04
2.4821792000e+03    2.9039480000e-04
2.4819397000e+03    7.3218500000e-05
2.4819177000e+03    4.8541600000e-05
2.4813354000e+03    5.2545000000e-06
2.4806597000e+03    2.2606700000e-05
2.4799420000e+03    8.0335000000e-05
2.4797313000e+03    3.9843800000e-05
2.4793533000e+03    2.1920500000e-05
2.4790265000e+03    2.4688000000e-06
2.4787766000e+03    1.1121470000e-04
2.4780200000e+03    1.2683100000e-05
2.4775942000e+03    1.1030240000e-04
2.4766424000e+03    5.0415100000e-05
2.4764804000e+03    6.4573900000e-05
2.4755020000e+03    9.3447000000e-05
2.4753551000e+03    2.7121000000e-06
2.4749363000e+03    5.5138000000e-05
2.4745243000e+03    9.5326500000e-05
2.4733893000e+03    8.7271500000e-05
2.4728796000e+03    2.2506990000e-04
2.4721257000e+03    3.3569800000e-05
2.4677791000e+03    4.8379590000e-04
2.4677345000e+03    6.2000000000e-09
2.4651887000e+03    0.0000000000e+00
2.3171921000e+03    8.9131999600e-02
2.3171311000e+03    8.9780859900e-02
2.3171072000e+03    8.9562778800e-02
2.2670213000e+03    2.5244000000e-06
2.2200056000e+03    0.0000000000e+00
2.2196190000e+03    0.0000000000e+00
2.2194688000e+03    0.0000000000e+00
2.2191669000e+03    0.0000000000e+00
2.2187988000e+03    0.0000000000e+00
2.2182079000e+03    0.0000000000e+00
2.2181766000e+03    0.0000000000e+00
2.2181386000e+03    0.0000000000e+00
2.2181366000e+03    0.0000000000e+00
2.2180635000e+03    0.0000000000e+00
2.2178349000e+03    0.0000000000e+00
2.2177776000e+03    0.0000000000e+00
2.2174546000e+03    0.0000000000e+00
2.2166233000e+03    0.0000000000e+00
2.2166013000e+03    0.0000000000e+00
2.2161661000e+03    1.0000000000e-10
2.2160257000e+03    1.0000000000e-10
2.2155793000e+03    0.0000000000e+00
1.9735908000e+03    0.0000000000e+00
1.9730065000e+03    0.0000000000e+00
1.9729706000e+03    0.0000000000e+00
