# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 43 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4897456000e+03    1.4035272800e-02
2.4892724000e+03    1.1752000000e-06
2.4889903000e+03    1.1125241000e-03
2.4888341000e+03    2.0494000000e-06
2.4886051000e+03    2.6749826000e-03
2.4880513000e+03    2.2558290000e-04
2.4875480000e+03    9.1883200000e-05
2.4874128000e+03    7.6484600000e-05
2.4867706000e+03    4.7423400000e-03
2.4862947000e+03    1.8914994000e-03
2.4858649000e+03    1.8019541300e-02
2.4857677000e+03    2.3813686000e-03
2.4847740000e+03    1.0694093700e-02
2.4845323000e+03    8.3114433000e-03
2.4842464000e+03    5.0758993000e-03
2.4840182000e+03    3.6704402000e-03
2.4837039000e+03    3.9469116000e-03
2.4831020000e+03    5.9777279000e-03
2.4820688000e+03    7.9496980000e-04
2.4813483000e+03    3.4196881000e-03
2.4805250000e+03    2.1004833000e-03
2.4790704000e+03    7.8766360000e-04
2.4769676000e+03    9.8717800000e-05
2.4760996000e+03    3.3017628000e-03
2.4739978000e+03    2.0432691000e-03
2.4730406000e+03    2.4110250000e-04
2.4688185000e+03    1.5346220000e-04
2.4687229000e+03    1.7530644000e-03
2.4677959000e+03    2.7038978000e-03
2.4663719000e+03    6.1193000000e-06
2.3172661000e+03    6.2343259640e-01
2.3171983000e+03    3.7336391880e-01
2.3171791000e+03    6.0869199060e-01
2.2670918000e+03    2.7975800000e-05
2.2184015000e+03    0.0000000000e+00
2.2166853000e+03    7.0000000000e-10
2.2160445000e+03    0.0000000000e+00
2.2152910000e+03    0.0000000000e+00
2.2145191000e+03    1.0000000000e-10
2.1036682000e+03    0.0000000000e+00
1.9750920000e+03    0.0000000000e+00
1.9737101000e+03    1.0000000000e-10
1.9734752000e+03    0.0000000000e+00
