# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4222058000e+03    2.3681685000e-03
2.4225833000e+03    3.6531581000e-03
2.4231656000e+03    1.0360750000e-04
2.4234243000e+03    2.3668111000e-03
2.4245113000e+03    2.7928252000e-03
2.4249948000e+03    1.0757010000e-04
2.4257772000e+03    1.1561160000e-04
2.4260125000e+03    1.8412120000e-04
2.4263309000e+03    1.5494900000e-05
2.4264518000e+03    2.3766600000e-05
2.4266005000e+03    7.8157200000e-05
2.4269840000e+03    3.4094100000e-05
2.4276010000e+03    1.3530200000e-04
2.4278092000e+03    3.5013320000e-04
2.4280905000e+03    4.9530580000e-04
2.4283124000e+03    3.7858470000e-04
2.4285857000e+03    1.1971478000e-03
2.4288891000e+03    2.4935462000e-03
2.4294229000e+03    1.5067580000e-04
2.4301482000e+03    7.6450650000e-04
2.4303892000e+03    1.2321709000e-03
2.4306701000e+03    2.6792960000e-04
2.4312882000e+03    2.6681820000e-04
2.4313450000e+03    1.0185450000e-04
2.4316326000e+03    2.4821280000e-04
2.4319789000e+03    1.2829473000e-03
2.4321815000e+03    3.4418430000e-04
2.4324736000e+03    5.9982690000e-04
2.4330793000e+03    1.5695430000e-04
2.4332226000e+03    2.5397780000e-04
2.4334859000e+03    3.2343400000e-04
2.4339956000e+03    5.9145230000e-04
2.4344289000e+03    2.7698000000e-05
2.4349418000e+03    2.7592090000e-04
2.4350354000e+03    1.5521690000e-04
2.4354004000e+03    2.4099140000e-04
2.4356823000e+03    9.5965400000e-05
2.4361535000e+03    1.0655410000e-04
2.4365104000e+03    2.9812460000e-04
2.4366560000e+03    2.1564040000e-04
2.4368155000e+03    6.1516400000e-05
2.4375394000e+03    2.4655400000e-04
2.4382430000e+03    3.9530770000e-04
2.4383558000e+03    8.3643840000e-04
2.4385395000e+03    9.7718130000e-04
2.4388534000e+03    7.3333740000e-04
2.4389839000e+03    9.8218300000e-05
2.4391679000e+03    8.4915200000e-05
2.4393540000e+03    1.2461710000e-04
2.4396563000e+03    2.0634130000e-04
