# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4224489000e+03    4.6503860000e-03
2.4224992000e+03    3.5854481000e-03
2.4242074000e+03    2.2930160000e-03
2.4244227000e+03    4.2033790000e-04
2.4250945000e+03    5.1954700000e-05
2.4251999000e+03    1.8015000000e-06
2.4252863000e+03    5.6258100000e-05
2.4258664000e+03    2.0521300000e-05
2.4259292000e+03    3.3294000000e-06
2.4260638000e+03    2.8475180000e-04
2.4262887000e+03    4.3263240000e-04
2.4266160000e+03    6.6781000000e-05
2.4268424000e+03    5.7415000000e-06
2.4271161000e+03    4.7944500000e-05
2.4272231000e+03    4.9128910000e-04
2.4275429000e+03    6.6234400000e-04
2.4275926000e+03    2.2983210000e-04
2.4276395000e+03    5.4166700000e-05
2.4277097000e+03    1.8481600000e-05
2.4279451000e+03    2.7096630000e-04
2.4280803000e+03    1.3321800000e-05
2.4281081000e+03    4.0164680000e-04
2.4287701000e+03    2.7826310000e-04
2.4290363000e+03    3.2593630000e-04
2.4292516000e+03    1.8319845000e-03
2.4297075000e+03    8.6051900000e-05
2.4298115000e+03    2.3397390000e-04
2.4301628000e+03    1.6908200000e-05
2.4304782000e+03    7.9856010000e-04
2.4308274000e+03    8.9613940000e-04
2.4312869000e+03    1.1009860000e-03
2.4316779000e+03    2.2293550000e-04
2.4318111000e+03    9.3436900000e-04
2.4320542000e+03    9.3447090000e-04
2.4322577000e+03    4.1306800000e-05
2.4323186000e+03    4.4006700000e-05
2.4323753000e+03    1.3293500000e-05
2.4326060000e+03    3.0490470000e-04
2.4327909000e+03    3.9253100000e-05
2.4334256000e+03    2.7663090000e-04
2.4336666000e+03    2.2002990000e-04
2.4341660000e+03    9.5415550000e-04
2.4349356000e+03    1.5225420000e-04
2.4351633000e+03    1.0461800000e-04
2.4353667000e+03    2.6394000000e-06
2.4354967000e+03    1.1902975000e-03
2.4366395000e+03    3.6495420000e-04
2.4367158000e+03    1.4098161000e-03
2.4375698000e+03    1.1798600000e-04
2.4378003000e+03    1.7471800000e-05
