# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 98 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4905230000e+03    4.4932670000e-04
2.4900503000e+03    3.1675070000e-04
2.4899516000e+03    2.7374100000e-05
2.4896229000e+03    2.5965680000e-04
2.4895633000e+03    1.6888110000e-04
2.4892526000e+03    1.0126703000e-03
2.4889218000e+03    3.1699290000e-04
2.4884029000e+03    1.8887370000e-04
2.4879892000e+03    2.5748000000e-06
2.4879509000e+03    2.6409100000e-05
2.4878488000e+03    1.1058000000e-06
2.4875646000e+03    1.0904300000e-05
2.4872504000e+03    4.9592000000e-06
2.4871729000e+03    8.3357000000e-06
2.4870380000e+03    2.3773300000e-05
2.4866759000e+03    9.5100800000e-05
2.4862367000e+03    4.4518600000e-05
2.4861531000e+03    9.7742100000e-05
2.4860850000e+03    1.9996080000e-04
2.4859653000e+03    2.6987380000e-04
2.4858845000e+03    1.9315579000e-03
2.4858111000e+03    6.7518500000e-05
2.4853762000e+03    3.2697300000e-05
2.4851231000e+03    4.5088030000e-04
2.4850659000e+03    5.1078900000e-05
2.4850079000e+03    2.5169260000e-04
2.4848850000e+03    2.0099090000e-04
2.4846102000e+03    4.4998440000e-04
2.4844663000e+03    1.7575586000e-03
2.4843816000e+03    4.9327000000e-04
2.4842694000e+03    1.6982460000e-04
2.4842095000e+03    2.1391010000e-04
2.4840854000e+03    5.7459100000e-04
2.4838459000e+03    3.2184950000e-04
2.4837836000e+03    2.8173620000e-04
2.4836394000e+03    4.6809430000e-04
2.4834470000e+03    1.1601083000e-03
2.4827502000e+03    6.2162600000e-05
2.4825427000e+03    2.1941660000e-04
2.4821491000e+03    3.7328500000e-05
2.4820432000e+03    3.8979700000e-05
2.4819291000e+03    2.7709700000e-05
2.4815731000e+03    6.2388000000e-06
2.4814770000e+03    4.0798810000e-04
2.4808099000e+03    1.1494800000e-05
2.4800718000e+03    4.7932500000e-05
2.4798499000e+03    1.6002200000e-05
2.4796103000e+03    2.2836800000e-05
2.4794936000e+03    1.0764490000e-04
2.4788189000e+03    7.3264000000e-06
2.4781664000e+03    7.6523800000e-05
2.4778202000e+03    1.5784700000e-05
2.4773210000e+03    8.7235000000e-05
2.4770866000e+03    1.1524240000e-04
2.4760195000e+03    1.1294370000e-04
2.4755948000e+03    5.6366000000e-06
2.4752255000e+03    1.8191610000e-04
2.4744732000e+03    2.7367100000e-05
2.4740390000e+03    2.6353740000e-04
2.4727598000e+03    3.1251600000e-05
2.4715923000e+03    1.9538000000e-06
2.4703983000e+03    5.0093000000e-06
2.4681690000e+03    3.5497120000e-04
2.4676115000e+03    2.6829000000e-06
2.4675282000e+03    1.5711930000e-04
2.4670072000e+03    1.6280000000e-07
2.4667307000e+03    1.2800000000e-08
2.4640155000e+03    0.0000000000e+00
2.4621381000e+03    0.0000000000e+00
2.3172465000e+03    8.9186662400e-02
2.3171786000e+03    8.9859375100e-02
2.3171531000e+03    8.9511396300e-02
2.2670652000e+03    2.9722000000e-06
2.2184455000e+03    0.0000000000e+00
2.2183143000e+03    0.0000000000e+00
2.2183051000e+03    0.0000000000e+00
2.2182544000e+03    0.0000000000e+00
2.2179604000e+03    0.0000000000e+00
2.2177721000e+03    0.0000000000e+00
2.2177634000e+03    0.0000000000e+00
2.2175417000e+03    0.0000000000e+00
2.2174425000e+03    0.0000000000e+00
2.2170124000e+03    0.0000000000e+00
2.2168479000e+03    0.0000000000e+00
2.2168383000e+03    1.0000000000e-10
2.2166512000e+03    0.0000000000e+00
2.2164845000e+03    0.0000000000e+00
2.2157985000e+03    2.0000000000e-10
2.2135515000e+03    0.0000000000e+00
2.1056441000e+03    0.0000000000e+00
2.1050755000e+03    0.0000000000e+00
2.1034825000e+03    0.0000000000e+00
1.9738077000e+03    0.0000000000e+00
1.9737733000e+03    0.0000000000e+00
1.9737219000e+03    0.0000000000e+00
1.9732377000e+03    0.0000000000e+00
1.8235020000e+03    0.0000000000e+00
1.8234346000e+03    0.0000000000e+00
