# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4222310000e+03    8.8057967000e-02
2.4225267000e+03    1.1591553820e-01
2.4234990000e+03    7.3121991900e-02
2.4244210000e+03    2.9619599000e-03
2.4244828000e+03    4.5445612000e-03
2.4246264000e+03    3.0809536000e-02
2.4247864000e+03    1.0429283000e-03
2.4248237000e+03    1.6729239000e-02
2.4250705000e+03    2.2018663600e-02
2.4251666000e+03    2.0671185900e-02
2.4254008000e+03    1.3109626300e-02
2.4258315000e+03    9.2040949000e-03
2.4258926000e+03    4.8004040000e-04
2.4260043000e+03    8.7622880000e-04
2.4262032000e+03    3.1626843000e-03
2.4263023000e+03    4.5942970000e-04
2.4263302000e+03    2.4493040000e-04
2.4264454000e+03    9.6404400000e-05
2.4266060000e+03    5.9738190000e-04
2.4267169000e+03    7.1284300000e-05
2.4269826000e+03    1.8196340000e-03
2.4270496000e+03    5.7647750000e-04
2.4271734000e+03    6.6380880000e-04
2.4272225000e+03    1.5901546000e-03
2.4274492000e+03    3.8954820000e-04
2.4278361000e+03    7.0269550000e-04
2.4281968000e+03    2.3190130000e-03
2.4284496000e+03    1.4308580800e-02
2.4285944000e+03    6.4503500000e-04
2.4287474000e+03    1.6527832800e-02
2.4288345000e+03    1.6126347600e-02
2.4289796000e+03    8.7061865600e-02
2.4290611000e+03    1.0755861000e-03
2.4294432000e+03    1.1937438200e-02
2.4297383000e+03    5.7618103000e-03
2.4303468000e+03    1.2550331000e-03
2.4305174000e+03    1.0765288000e-03
2.4306710000e+03    3.0133393800e-02
2.4310466000e+03    4.9700910000e-04
2.4311721000e+03    1.3951129100e-02
2.4312496000e+03    2.4180583000e-03
2.4313169000e+03    1.8749210800e-02
2.4315045000e+03    2.7017056600e-02
2.4315586000e+03    3.8791301000e-03
2.4316384000e+03    1.2997677000e-03
2.4317674000e+03    2.9553628800e-02
2.4318560000e+03    8.6161900000e-03
2.4319653000e+03    6.0237201000e-03
2.4320992000e+03    3.7457752000e-03
2.4323268000e+03    3.0913470000e-03
