# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4227724000e+03    3.4464660000e-04
2.4252601000e+03    2.8488011000e-03
2.4257599000e+03    6.2665165000e-03
2.4262867000e+03    3.4441800000e-05
2.4265486000e+03    4.0150500000e-05
2.4267233000e+03    1.4598017000e-03
2.4279621000e+03    2.2167910000e-04
2.4281804000e+03    2.6433040000e-04
2.4282844000e+03    4.1484339000e-03
2.4284980000e+03    2.1535290000e-04
2.4288968000e+03    6.5599000000e-06
2.4297218000e+03    1.2634330000e-04
2.4307644000e+03    4.7202770000e-04
2.4314265000e+03    2.4924732000e-03
2.4321253000e+03    4.0198150000e-04
2.4323133000e+03    2.9444660000e-04
2.4325917000e+03    1.6250877000e-03
2.4330725000e+03    3.7510500000e-04
2.4333796000e+03    7.4650370000e-04
2.4335062000e+03    9.4090500000e-05
2.4335902000e+03    4.8375840000e-04
2.4348885000e+03    1.4916100000e-04
2.4352157000e+03    6.1520000000e-06
2.4354640000e+03    1.0304660000e-04
2.4360292000e+03    7.3075900000e-05
2.4364724000e+03    1.6461870000e-04
2.4370881000e+03    2.1908000000e-06
2.4375612000e+03    5.3234000000e-05
2.4377608000e+03    1.5679790000e-04
2.4380826000e+03    8.4851200000e-05
2.4382180000e+03    1.3839270000e-04
2.4386934000e+03    3.7330100000e-04
2.4389397000e+03    2.2324828000e-03
2.4392087000e+03    1.1293933000e-03
2.4398906000e+03    1.6933530000e-04
2.4401542000e+03    1.2367590000e-03
2.4406871000e+03    4.5273010000e-04
2.4407985000e+03    3.4581500000e-04
2.4411782000e+03    4.5359290000e-04
2.4413818000e+03    5.0834360000e-04
2.4419255000e+03    1.0245075000e-03
2.4425943000e+03    2.1105740000e-04
2.4428708000e+03    8.7256470000e-04
2.4432560000e+03    2.7043260000e-04
2.4434285000e+03    1.0699800000e-05
2.4435010000e+03    1.7272750000e-04
2.4439427000e+03    1.4165580000e-04
2.4449747000e+03    6.0309500000e-05
2.4455073000e+03    2.6567300000e-05
2.4458352000e+03    5.7617900000e-05
