# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 66 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4927902000e+03    3.9984720000e-04
2.4926096000e+03    1.3260778000e-03
2.4923651000e+03    1.0962300000e-05
2.4918146000e+03    6.1883000000e-06
2.4916714000e+03    3.1872700000e-05
2.4912150000e+03    2.4854053000e-03
2.4906710000e+03    5.9994910000e-04
2.4903236000e+03    3.0476020000e-04
2.4898440000e+03    1.4752400000e-04
2.4897824000e+03    7.1610100000e-05
2.4896160000e+03    4.5212490000e-04
2.4895393000e+03    1.1584900000e-03
2.4892837000e+03    2.1402000000e-06
2.4889707000e+03    8.2094300000e-05
2.4886560000e+03    2.8160700000e-05
2.4884648000e+03    1.1235474000e-03
2.4879342000e+03    1.9980650000e-04
2.4872125000e+03    9.6184240000e-04
2.4871108000e+03    6.1443050000e-04
2.4867893000e+03    4.3243527000e-03
2.4867312000e+03    8.7466660000e-04
2.4863769000e+03    8.2186600000e-04
2.4862728000e+03    6.5467800000e-05
2.4858121000e+03    7.3615198000e-03
2.4857255000e+03    9.5846373000e-03
2.4854751000e+03    1.1627006500e-02
2.4852583000e+03    2.0503851000e-03
2.4847775000e+03    1.6301200000e-05
2.4846212000e+03    5.0325394000e-03
2.4844075000e+03    6.1727688000e-03
2.4832090000e+03    6.8289283000e-03
2.4827294000e+03    1.8877089000e-03
2.4816487000e+03    4.4514530000e-04
2.4806920000e+03    7.7779530000e-04
2.4798433000e+03    1.5548510000e-04
2.4789872000e+03    3.1589894000e-03
2.4785821000e+03    1.1214666000e-03
2.4771123000e+03    2.2651396000e-03
2.4747201000e+03    7.3392000000e-05
2.4742389000e+03    1.6390000000e-06
2.4732353000e+03    1.5483140000e-04
2.4713154000e+03    3.0473650000e-04
2.4711689000e+03    4.0885000000e-04
2.4707880000e+03    2.7344950000e-04
2.4705924000e+03    9.9363378000e-03
2.4679568000e+03    1.2226766000e-03
2.4660873000e+03    1.4000000000e-09
2.3176255000e+03    5.7740887590e-01
2.3176144000e+03    3.9261037850e-01
2.3176127000e+03    5.4439394540e-01
2.2675723000e+03    4.6294000000e-06
2.2208131000e+03    0.0000000000e+00
2.2203851000e+03    0.0000000000e+00
2.2191942000e+03    0.0000000000e+00
2.2184031000e+03    5.0000000000e-10
2.2178348000e+03    0.0000000000e+00
2.2171129000e+03    1.0000000000e-10
2.1079586000e+03    0.0000000000e+00
2.1073676000e+03    0.0000000000e+00
2.1061763000e+03    0.0000000000e+00
2.1060824000e+03    1.0000000000e-10
2.1022940000e+03    0.0000000000e+00
1.9773811000e+03    0.0000000000e+00
1.9773080000e+03    0.0000000000e+00
1.9753162000e+03    0.0000000000e+00
1.9753076000e+03    0.0000000000e+00
