# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4232602000e+03    2.6649112000e-03
2.4243118000e+03    9.7083285000e-03
2.4252332000e+03    1.1128642600e-02
2.4258397000e+03    1.8692535600e-02
2.4261619000e+03    7.4830460000e-04
2.4265678000e+03    2.0102971000e-02
2.4268696000e+03    9.6720000000e-07
2.4279945000e+03    3.7610147000e-03
2.4284216000e+03    1.7768326000e-02
2.4286968000e+03    1.5427764000e-03
2.4287056000e+03    1.3265536600e-02
2.4287447000e+03    2.9267140000e-04
2.4289570000e+03    1.3242850000e-04
2.4291130000e+03    7.0752930000e-04
2.4292628000e+03    8.4782790000e-04
2.4293939000e+03    2.8447790000e-04
2.4295008000e+03    7.0645180000e-04
2.4297390000e+03    2.5076610000e-04
2.4304131000e+03    5.4922040000e-04
2.4325025000e+03    1.9156348700e-02
2.4327537000e+03    4.0155203000e-03
2.4332403000e+03    1.0338418100e-02
2.4335006000e+03    5.7650300000e-04
2.4343122000e+03    8.9735973000e-03
2.4345180000e+03    1.1150077000e-03
2.4355664000e+03    4.7090000000e-07
2.4359504000e+03    7.6253040000e-04
2.4363502000e+03    7.2205420000e-04
2.4370149000e+03    1.0620193000e-03
2.4377098000e+03    1.6820434000e-03
2.4379653000e+03    7.2123740000e-04
2.4382507000e+03    1.8193648000e-03
2.4382985000e+03    3.9297100000e-05
2.4386123000e+03    4.0225603000e-03
2.4387401000e+03    1.2235940000e-04
2.4394447000e+03    3.3536460000e-03
2.4395295000e+03    5.5399780000e-04
2.4399167000e+03    8.4331300000e-05
2.4401861000e+03    1.8520543600e-02
2.4403863000e+03    8.1025000000e-06
2.4404629000e+03    8.2255690000e-04
2.4409347000e+03    1.4009913000e-02
2.4411068000e+03    6.0004086000e-03
2.4412346000e+03    2.2242935000e-03
2.4413560000e+03    2.7966601000e-03
2.4416951000e+03    1.7993345000e-03
2.4418893000e+03    9.3304594000e-03
2.4431053000e+03    8.8205200000e-05
2.4432759000e+03    3.5804800000e-04
2.4451063000e+03    9.9102000000e-06
