# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4229616000e+03    4.3441530000e-03
2.4246075000e+03    4.2526404700e-02
2.4253551000e+03    7.0363840000e-04
2.4257953000e+03    5.0404361800e-02
2.4265612000e+03    2.6459723500e-02
2.4266016000e+03    8.5153200000e-05
2.4279377000e+03    4.6748273000e-03
2.4284398000e+03    5.4829696000e-02
2.4285874000e+03    1.8016632000e-03
2.4287938000e+03    1.1548401000e-03
2.4291239000e+03    3.5181580000e-04
2.4291451000e+03    2.6267950000e-04
2.4293545000e+03    3.2497679000e-03
2.4295660000e+03    3.2594980000e-04
2.4297769000e+03    5.6376800000e-04
2.4318102000e+03    1.5990156200e-02
2.4322567000e+03    2.0923805100e-02
2.4328099000e+03    3.7977109000e-03
2.4332776000e+03    1.3241887900e-02
2.4339106000e+03    1.2105210900e-02
2.4346900000e+03    1.0728175000e-03
2.4354342000e+03    3.2549000000e-05
2.4355274000e+03    1.7025138000e-03
2.4364043000e+03    2.8408533000e-03
2.4374537000e+03    3.2561340000e-04
2.4379362000e+03    3.6230618000e-03
2.4382163000e+03    1.8579500000e-04
2.4382419000e+03    1.2390376200e-02
2.4385168000e+03    1.9941690000e-04
2.4387833000e+03    9.9451580000e-04
2.4397139000e+03    2.4815214000e-03
2.4398011000e+03    4.6906102000e-03
2.4403384000e+03    2.9582688000e-03
2.4403400000e+03    4.5547001200e-02
2.4405565000e+03    8.6576018000e-03
2.4408765000e+03    1.2397658000e-03
2.4412181000e+03    8.1232932000e-03
2.4413501000e+03    1.4860376600e-02
2.4418443000e+03    9.9368344000e-03
2.4426013000e+03    1.0804448000e-03
2.4435821000e+03    9.5729610000e-04
2.4446231000e+03    2.1556990000e-04
2.4452845000e+03    5.0262500000e-05
2.4457479000e+03    1.0900920000e-04
2.4467476000e+03    1.6585501000e-03
2.4470313000e+03    1.4136802000e-03
2.4478250000e+03    1.0456050000e-03
2.4482837000e+03    3.6930000000e-05
2.4492408000e+03    8.9595940000e-04
2.4492943000e+03    1.2084350000e-03
