# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4241427000e+03    5.1048660000e-04
2.4251534000e+03    2.2870874000e-03
2.4254913000e+03    5.7466810000e-04
2.4255052000e+03    6.0547916000e-03
2.4261375000e+03    2.7477686000e-03
2.4277490000e+03    3.6703000000e-06
2.4279895000e+03    2.0301643000e-03
2.4286058000e+03    1.6136400000e-04
2.4295856000e+03    6.4782550000e-04
2.4306213000e+03    2.6370540000e-03
2.4307916000e+03    4.5777640000e-04
2.4321476000e+03    6.0543770000e-04
2.4323866000e+03    1.3130927000e-03
2.4326718000e+03    5.8456160000e-04
2.4336480000e+03    2.2734189000e-03
2.4340127000e+03    2.2361370000e-04
2.4343190000e+03    2.1799840000e-04
2.4346612000e+03    1.7109000000e-06
2.4351699000e+03    2.8565070000e-04
2.4362138000e+03    1.3303100000e-05
2.4365434000e+03    7.2679920000e-04
2.4373817000e+03    2.3017620000e-04
2.4377473000e+03    4.2063100000e-05
2.4381922000e+03    7.4523940000e-04
2.4387032000e+03    3.9910510000e-04
2.4395430000e+03    6.2333870000e-04
2.4397983000e+03    5.1736860000e-04
2.4403675000e+03    3.9119360000e-04
2.4405302000e+03    2.1620639000e-03
2.4409427000e+03    8.9821330000e-04
2.4417040000e+03    8.7443300000e-05
2.4421683000e+03    6.9515490000e-04
2.4424267000e+03    7.1110000000e-07
2.4426925000e+03    1.7611615000e-03
2.4432360000e+03    1.2617200000e-04
2.4444037000e+03    1.7146470000e-04
2.4444110000e+03    3.1143150000e-04
2.4452923000e+03    1.4682330000e-04
2.4460042000e+03    1.4344970000e-04
2.4466236000e+03    1.1495750000e-04
2.4475420000e+03    5.1448600000e-05
2.4477246000e+03    4.8680240000e-04
2.4490876000e+03    3.8448550000e-04
2.4497166000e+03    4.6874300000e-05
2.4497699000e+03    9.8359100000e-05
2.4506079000e+03    1.4088520000e-04
2.4512935000e+03    2.6288880000e-04
2.4515748000e+03    1.7790000000e-07
2.4517025000e+03    2.0216800000e-04
2.4518865000e+03    7.5327400000e-05
