# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 46 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4923833000e+03    5.7770000000e-07
2.4917577000e+03    7.3086630000e-04
2.4909592000e+03    1.7483758000e-03
2.4906522000e+03    3.0322000000e-06
2.4904712000e+03    1.1488800000e-05
2.4903082000e+03    1.5522108000e-03
2.4900786000e+03    9.1152800000e-05
2.4898274000e+03    1.1830000000e-07
2.4896487000e+03    4.4581600000e-04
2.4893818000e+03    2.3392680000e-04
2.4887660000e+03    1.3000000000e-08
2.4882775000e+03    5.8121690000e-04
2.4882672000e+03    5.3338280000e-04
2.4871568000e+03    2.4283138000e-03
2.4868102000e+03    2.3733130000e-03
2.4868034000e+03    1.2697933000e-03
2.4863683000e+03    2.8137290000e-03
2.4858984000e+03    1.9466100500e-02
2.4858130000e+03    4.5527976000e-03
2.4856754000e+03    1.1504738300e-02
2.4844903000e+03    3.9622431000e-03
2.4837726000e+03    2.0959854000e-03
2.4829555000e+03    6.5514510000e-03
2.4812735000e+03    1.5131413000e-03
2.4790883000e+03    3.3879845000e-03
2.4783757000e+03    1.7053593000e-03
2.4757064000e+03    4.4513590000e-04
2.4745504000e+03    2.8306560000e-04
2.4737426000e+03    1.6757420000e-03
2.4711563000e+03    8.8640000000e-07
2.4708462000e+03    1.0050629700e-02
2.4687140000e+03    3.9882000000e-06
2.4681978000e+03    1.2343459000e-03
2.3176887000e+03    5.5853757150e-01
2.3176837000e+03    5.6984296060e-01
2.3176710000e+03    3.3229395440e-01
2.2676503000e+03    2.2056000000e-06
2.2195583000e+03    0.0000000000e+00
2.2192567000e+03    0.0000000000e+00
2.2182539000e+03    4.0000000000e-10
2.2179907000e+03    1.0000000000e-10
2.2175682000e+03    0.0000000000e+00
1.9773616000e+03    0.0000000000e+00
1.9759525000e+03    0.0000000000e+00
1.9756042000e+03    0.0000000000e+00
1.9756017000e+03    0.0000000000e+00
