# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4227527000e+03    1.2433639000e-03
2.4247946000e+03    1.5770215700e-02
2.4248605000e+03    2.4751389000e-03
2.4258328000e+03    1.2823324000e-02
2.4259294000e+03    1.7850037100e-02
2.4271111000e+03    1.8102647000e-03
2.4271227000e+03    1.9076620500e-02
2.4286545000e+03    2.4489430000e-04
2.4289041000e+03    1.2254839900e-02
2.4291463000e+03    1.5687040000e-04
2.4291537000e+03    1.7664459000e-02
2.4291583000e+03    1.0559963000e-03
2.4300057000e+03    1.8314310000e-04
2.4307941000e+03    6.0321720000e-03
2.4323052000e+03    1.4012355700e-02
2.4325120000e+03    4.3732045000e-03
2.4329298000e+03    2.0596332000e-03
2.4334913000e+03    5.6789183000e-03
2.4339489000e+03    7.5953238000e-03
2.4341171000e+03    1.2204134000e-03
2.4344733000e+03    2.6466631000e-03
2.4356663000e+03    9.3863600000e-05
2.4357200000e+03    1.1520230000e-04
2.4362269000e+03    2.4195690000e-04
2.4367354000e+03    3.9113750000e-04
2.4372949000e+03    8.8234140000e-04
2.4376256000e+03    3.0999600000e-04
2.4377040000e+03    3.5780740000e-04
2.4383581000e+03    2.2537175000e-03
2.4383643000e+03    9.3015540000e-04
2.4391103000e+03    3.5664777000e-03
2.4399396000e+03    3.5351760000e-04
2.4400184000e+03    7.5333030000e-04
2.4402952000e+03    3.4505213000e-02
2.4406114000e+03    4.5375275000e-03
2.4409623000e+03    8.0416466000e-03
2.4410395000e+03    5.3600100000e-05
2.4415540000e+03    2.9916621000e-03
2.4417197000e+03    7.7454086000e-03
2.4426552000e+03    9.6215110000e-04
2.4432631000e+03    3.1298240000e-04
2.4433053000e+03    1.0759990000e-04
2.4447869000e+03    3.9106100000e-05
2.4452788000e+03    4.2144402000e-03
2.4453257000e+03    4.2183000000e-05
2.4463950000e+03    4.3127310000e-04
2.4470552000e+03    9.3435000000e-05
2.4475841000e+03    1.2257752000e-03
2.4477509000e+03    9.3298400000e-05
2.4478002000e+03    1.4597451000e-03
