# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4227411000e+03    1.6776996000e-03
2.4247202000e+03    1.9107520200e-02
2.4255022000e+03    1.2159703000e-03
2.4256330000e+03    2.0044645000e-03
2.4258700000e+03    3.0572071100e-02
2.4273956000e+03    1.0570488100e-02
2.4275385000e+03    1.4864373300e-02
2.4282706000e+03    1.1466042000e-03
2.4289356000e+03    2.6797450000e-04
2.4290944000e+03    2.1140790000e-04
2.4292225000e+03    1.9379520000e-04
2.4295703000e+03    2.2097283600e-02
2.4296667000e+03    2.9372880000e-04
2.4310733000e+03    7.3044372000e-03
2.4321520000e+03    9.9851686000e-03
2.4326844000e+03    7.4578840000e-03
2.4329730000e+03    5.7911475000e-03
2.4332044000e+03    3.7568177000e-03
2.4337600000e+03    7.7676285000e-03
2.4337879000e+03    2.0437144000e-03
2.4344427000e+03    8.3969640000e-04
2.4355299000e+03    5.3591260000e-04
2.4359206000e+03    2.9326940000e-04
2.4363993000e+03    1.4126411000e-03
2.4368488000e+03    3.5431910000e-04
2.4370791000e+03    1.6305928000e-03
2.4374997000e+03    2.6147960000e-04
2.4376547000e+03    2.1814230000e-04
2.4380743000e+03    3.2867902000e-03
2.4380944000e+03    1.2398622000e-03
2.4392154000e+03    2.8704700000e-04
2.4397007000e+03    1.5805913000e-03
2.4399157000e+03    4.0004752000e-03
2.4402218000e+03    1.4198340400e-02
2.4403996000e+03    4.4188189000e-03
2.4405158000e+03    1.8927745500e-02
2.4410017000e+03    2.6027221000e-03
2.4414206000e+03    1.3575473000e-03
2.4418503000e+03    4.4872700000e-04
2.4424477000e+03    1.1012417100e-02
2.4428077000e+03    4.1588416000e-03
2.4432771000e+03    8.9403880000e-04
2.4439816000e+03    2.5151950000e-03
2.4446879000e+03    1.2557170000e-04
2.4454426000e+03    1.2816150000e-04
2.4455038000e+03    2.5913150000e-04
2.4457499000e+03    1.7443470000e-04
2.4471735000e+03    3.6061920000e-04
2.4474810000e+03    9.7619190000e-04
2.4476313000e+03    4.4684600000e-05
