# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4916553000e+03    2.4000000000e-08
2.4915371000e+03    1.8146990000e-04
2.4912361000e+03    1.1516370000e-04
2.4912052000e+03    4.2700000000e-08
2.4904734000e+03    9.0712200000e-05
2.4903676000e+03    1.5588100000e-05
2.4896633000e+03    7.8075700000e-05
2.4895960000e+03    1.4200000000e-08
2.4886310000e+03    6.0263800000e-05
2.4871640000e+03    5.8483540000e-04
2.4865315000e+03    1.1365993000e-03
2.4861473000e+03    2.8837922000e-03
2.4860891000e+03    1.7967371000e-03
2.4855142000e+03    7.6300670000e-04
2.4853473000e+03    1.1969642000e-03
2.4847703000e+03    5.2646700000e-05
2.4839681000e+03    1.8219210000e-04
2.4834902000e+03    6.2765240000e-04
2.4826221000e+03    1.0643841000e-03
2.4799849000e+03    4.1970960000e-04
2.4789392000e+03    4.0929200000e-04
2.4767457000e+03    1.5419160000e-04
2.4742115000e+03    3.3368490000e-04
2.4710397000e+03    1.4197438000e-03
2.4702849000e+03    1.4126000000e-06
2.4683918000e+03    1.7327190000e-04
2.4655028000e+03    5.3880000000e-07
2.3177144000e+03    9.0047703300e-02
2.3177120000e+03    9.0046619500e-02
2.3176955000e+03    8.9583267900e-02
2.2676825000e+03    3.0090000000e-07
2.2194284000e+03    1.0000000000e-10
2.2194043000e+03    0.0000000000e+00
2.2191879000e+03    0.0000000000e+00
2.2185927000e+03    2.0000000000e-10
2.1018404000e+03    0.0000000000e+00
1.9765324000e+03    0.0000000000e+00
1.9762182000e+03    0.0000000000e+00
1.9757827000e+03    0.0000000000e+00
1.9757826000e+03    0.0000000000e+00
