# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 44 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4922153000e+03    4.5164000000e-06
2.4915710000e+03    1.4512970000e-04
2.4912174000e+03    4.4621010000e-04
2.4906482000e+03    5.7000000000e-09
2.4900784000e+03    9.8516000000e-06
2.4897771000e+03    2.7909250000e-04
2.4897698000e+03    2.3016000000e-06
2.4891334000e+03    7.9130000000e-07
2.4887775000e+03    1.1832190000e-04
2.4883430000e+03    2.9954500000e-05
2.4873072000e+03    1.0321630000e-04
2.4866350000e+03    5.1895640000e-04
2.4864424000e+03    6.9728630000e-04
2.4860237000e+03    1.5238598000e-03
2.4859093000e+03    1.4649261000e-03
2.4856946000e+03    2.3944781000e-03
2.4847325000e+03    7.6500040000e-04
2.4843181000e+03    1.2514572000e-03
2.4839521000e+03    2.6999960000e-04
2.4825005000e+03    6.3326320000e-04
2.4816178000e+03    6.3215600000e-05
2.4809112000e+03    4.8651120000e-04
2.4784052000e+03    6.0951790000e-04
2.4768091000e+03    3.3626040000e-04
2.4729091000e+03    4.5238200000e-05
2.4711526000e+03    3.0180000000e-07
2.4710649000e+03    1.0618570000e-04
2.4708687000e+03    1.3589759000e-03
2.4686723000e+03    2.0761000000e-06
2.4681785000e+03    1.7062850000e-04
2.3176664000e+03    9.0039487500e-02
2.3176580000e+03    8.9962857800e-02
2.3176515000e+03    8.9586835600e-02
2.2676229000e+03    7.4500000000e-07
2.2198148000e+03    2.0000000000e-10
2.2185394000e+03    0.0000000000e+00
2.2175952000e+03    0.0000000000e+00
2.2172239000e+03    1.0000000000e-10
2.1070695000e+03    0.0000000000e+00
2.1060141000e+03    0.0000000000e+00
1.9773109000e+03    0.0000000000e+00
1.9759775000e+03    0.0000000000e+00
1.9755739000e+03    0.0000000000e+00
1.9755738000e+03    0.0000000000e+00
