# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 37 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.8562285000e+03    8.5998320000e-04
2.8552445000e+03    6.3027020000e-04
2.8551363000e+03    2.2399800000e-05
2.8544078000e+03    2.9956670000e-04
2.8543898000e+03    7.2149600000e-04
2.8533522000e+03    1.6646727000e-03
2.8530333000e+03    5.1954611000e-03
2.8519323000e+03    2.9268605000e-03
2.8514877000e+03    7.8764610000e-04
2.8508418000e+03    8.2704100000e-05
2.8508383000e+03    3.4146520000e-04
2.8503553000e+03    2.2226413000e-03
2.8503161000e+03    3.1532160000e-04
2.8484933000e+03    7.4671450000e-04
2.8473273000e+03    9.2841400000e-04
2.8468472000e+03    7.9879100000e-05
2.8437239000e+03    4.1280000000e-05
2.8423283000e+03    2.6285000000e-05
2.8390675000e+03    2.4465300000e-05
2.8374749000e+03    2.0165460000e-04
2.8358953000e+03    1.5900000000e-08
2.8330944000e+03    1.5885000000e-06
2.6977600000e+03    0.0000000000e+00
2.6977279000e+03    0.0000000000e+00
2.6976620000e+03    0.0000000000e+00
2.6421847000e+03    9.0366682500e-02
2.6421723000e+03    9.0513141300e-02
2.6419790000e+03    9.1359557800e-02
2.6415646000e+03    3.8000000000e-09
2.5877680000e+03    2.2320000000e-06
2.5839450000e+03    0.0000000000e+00
2.5837892000e+03    0.0000000000e+00
2.5833276000e+03    0.0000000000e+00
2.5825395000e+03    2.0000000000e-10
2.3411368000e+03    0.0000000000e+00
2.3411367000e+03    0.0000000000e+00
4.3625410000e+02    0.0000000000e+00
