# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 35 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4921503000e+03    7.5000000000e-09
2.4913101000e+03    2.7551426000e-03
2.4912912000e+03    3.2101000000e-06
2.4905627000e+03    1.8364330000e-04
2.4904757000e+03    8.1144800000e-04
2.4901401000e+03    1.8500000000e-08
2.4901084000e+03    1.3139520000e-04
2.4896898000e+03    1.2333297000e-03
2.4894518000e+03    7.3000000000e-09
2.4878857000e+03    2.2152311000e-03
2.4874632000e+03    5.7039456000e-03
2.4873056000e+03    3.6062006000e-03
2.4863100000e+03    2.5869976100e-02
2.4860318000e+03    4.0114855600e-02
2.4857876000e+03    1.0709111600e-02
2.4847458000e+03    1.0314039400e-02
2.4833208000e+03    2.4192989000e-02
2.4823938000e+03    2.8196410000e-04
2.4799018000e+03    3.9402933000e-03
2.4782603000e+03    3.9375580000e-03
2.4763845000e+03    2.4901852000e-03
2.4758152000e+03    2.5371090000e-04
2.4737709000e+03    1.9223177000e-03
2.4710750000e+03    1.9190619300e-02
2.4683925000e+03    1.4870477000e-03
2.3177114000e+03    6.6669780650e-01
2.3177097000e+03    1.1068302718e+00
2.3176974000e+03    1.0175881532e+00
2.2676819000e+03    2.4082000000e-06
2.2195180000e+03    4.0000000000e-10
2.2195177000e+03    2.0000000000e-10
2.2180591000e+03    0.0000000000e+00
2.2180508000e+03    0.0000000000e+00
1.9758243000e+03    0.0000000000e+00
1.9758241000e+03    1.0000000000e-10
