# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 32 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4919710000e+03    4.9814000000e-06
2.4910162000e+03    1.9577134000e-03
2.4908227000e+03    4.1988700000e-05
2.4905657000e+03    1.2465979000e-03
2.4901263000e+03    1.2655000000e-04
2.4897024000e+03    1.3925816000e-03
2.4894968000e+03    3.9710000000e-07
2.4881927000e+03    1.5037736000e-03
2.4876107000e+03    3.5216985000e-03
2.4867220000e+03    5.7130627000e-03
2.4863058000e+03    2.7167630700e-02
2.4860343000e+03    4.0951733600e-02
2.4858510000e+03    1.7561748200e-02
2.4844018000e+03    7.1154562000e-03
2.4829941000e+03    1.9364800700e-02
2.4824822000e+03    8.6048540000e-04
2.4796141000e+03    5.4612476000e-03
2.4779148000e+03    3.1653867000e-03
2.4762077000e+03    1.6880916000e-03
2.4740601000e+03    2.3224482000e-03
2.4710693000e+03    1.9146005700e-02
2.4683903000e+03    1.4798156000e-03
2.3177064000e+03    6.3937580820e-01
2.3177032000e+03    1.1097089088e+00
2.3176921000e+03    1.0489476989e+00
2.2676743000e+03    2.4616000000e-06
2.2195775000e+03    2.0000000000e-10
2.2193547000e+03    4.0000000000e-10
2.2192495000e+03    0.0000000000e+00
2.2181990000e+03    0.0000000000e+00
1.9757967000e+03    0.0000000000e+00
1.9757965000e+03    1.0000000000e-10
