# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 49 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4924688000e+03    1.5831400000e-05
2.4922854000e+03    2.3306300000e-05
2.4919849000e+03    9.8004400000e-05
2.4919734000e+03    4.4728000000e-06
2.4918325000e+03    5.2840700000e-05
2.4909839000e+03    1.5207200000e-05
2.4906768000e+03    3.4683400000e-05
2.4906402000e+03    1.0202213000e-03
2.4898826000e+03    4.5118500000e-05
2.4896105000e+03    7.0387080000e-04
2.4894351000e+03    9.3250000000e-07
2.4891371000e+03    8.3189200000e-05
2.4889702000e+03    1.3297830000e-04
2.4887913000e+03    6.4640360000e-04
2.4880402000e+03    9.2072800000e-05
2.4878327000e+03    7.4117900000e-05
2.4871672000e+03    8.9004900000e-05
2.4868839000e+03    1.2871750000e-04
2.4863232000e+03    6.7938751000e-03
2.4859503000e+03    8.7952079000e-03
2.4858361000e+03    9.8247839000e-03
2.4857363000e+03    5.4981868000e-03
2.4851677000e+03    1.1010208000e-03
2.4839596000e+03    3.5806475000e-03
2.4825895000e+03    9.8962800000e-05
2.4813594000e+03    8.8246200000e-05
2.4806745000e+03    2.0562390000e-03
2.4781360000e+03    2.4948090000e-04
2.4778569000e+03    5.6316360000e-04
2.4772463000e+03    4.3918900000e-04
2.4766155000e+03    8.9404450000e-04
2.4747547000e+03    3.1125930000e-04
2.4707261000e+03    6.1068700000e-03
2.4699017000e+03    6.0500000000e-08
2.4682307000e+03    7.4771800000e-04
2.3177395000e+03    3.4634231910e-01
2.3177190000e+03    3.4593252330e-01
2.3177050000e+03    2.1194345310e-01
2.2676806000e+03    1.7209000000e-06
2.2208261000e+03    0.0000000000e+00
2.2205592000e+03    0.0000000000e+00
2.2205532000e+03    0.0000000000e+00
2.2204681000e+03    0.0000000000e+00
2.2202469000e+03    0.0000000000e+00
2.2197276000e+03    5.0000000000e-10
2.2181503000e+03    0.0000000000e+00
1.9770934000e+03    0.0000000000e+00
1.9755070000e+03    0.0000000000e+00
1.9754997000e+03    0.0000000000e+00
