# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4238852000e+03    1.9399932500e-02
2.4250484000e+03    9.3293320000e-04
2.4257943000e+03    4.0967950400e-02
2.4261097000e+03    1.8517640600e-02
2.4263110000e+03    5.1665024400e-02
2.4266026000e+03    7.7325809400e-02
2.4270778000e+03    2.3477723700e-02
2.4272560000e+03    3.1856778000e-03
2.4273714000e+03    9.4864667000e-03
2.4275441000e+03    1.4394619000e-03
2.4277459000e+03    2.9202917000e-03
2.4282044000e+03    1.7234434000e-03
2.4284686000e+03    4.6505400000e-05
2.4287440000e+03    2.1711826000e-03
2.4289930000e+03    2.5736053000e-03
2.4292928000e+03    2.1412474000e-03
2.4295290000e+03    1.0012649300e-02
2.4298379000e+03    5.2936587000e-03
2.4300459000e+03    1.4056256000e-03
2.4303231000e+03    2.2586063000e-03
2.4310216000e+03    4.6965800000e-04
2.4312449000e+03    2.3082143100e-02
2.4320623000e+03    1.6774085200e-02
2.4321596000e+03    1.0244870300e-02
2.4324952000e+03    9.1352227000e-03
2.4326989000e+03    4.3252950000e-04
2.4328438000e+03    5.9713832000e-03
2.4330474000e+03    4.0984393000e-03
2.4331198000e+03    2.3593680000e-04
2.4337691000e+03    1.2363406000e-03
2.4344349000e+03    6.7729354000e-03
2.4346003000e+03    1.9029042000e-03
2.4347277000e+03    3.5778968000e-03
2.4349000000e+03    3.9068532000e-03
2.4352433000e+03    8.4572944000e-03
2.4354903000e+03    6.1744226000e-03
2.4359518000e+03    9.7225418000e-03
2.4360905000e+03    7.5420483000e-03
2.4369779000e+03    3.3438100000e-04
2.4371260000e+03    1.8671534000e-03
2.4372867000e+03    7.6056134000e-03
2.4375343000e+03    1.1093974100e-02
2.4378094000e+03    1.0505239000e-03
2.4378541000e+03    7.5933543000e-03
2.4381494000e+03    5.8491336000e-03
2.4383660000e+03    7.5242919000e-03
2.4389878000e+03    1.1866458800e-02
2.4393496000e+03    1.8640147000e-03
2.4398221000e+03    1.8253493600e-02
2.4400502000e+03    6.7129193000e-03
