# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 32 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4917843000e+03    2.1378400000e-05
2.4912014000e+03    6.2594333000e-03
2.4909077000e+03    1.7846351000e-03
2.4902072000e+03    7.3804000000e-06
2.4899426000e+03    1.5854250000e-04
2.4897359000e+03    1.9302356000e-03
2.4892646000e+03    1.1800000000e-07
2.4885671000e+03    3.4941840000e-03
2.4873002000e+03    4.1242874000e-03
2.4871600000e+03    5.2616813000e-03
2.4860065000e+03    2.7841186500e-02
2.4857764000e+03    3.6558146400e-02
2.4852133000e+03    1.1558661600e-02
2.4843909000e+03    7.9460756000e-03
2.4827213000e+03    2.1975948700e-02
2.4816346000e+03    1.2228348000e-03
2.4789723000e+03    5.3301450000e-03
2.4770943000e+03    3.7312168000e-03
2.4755745000e+03    4.0547520000e-04
2.4711129000e+03    1.0632166000e-03
2.4708510000e+03    1.8978291800e-02
2.4681846000e+03    1.3029599000e-03
2.3176736000e+03    6.0026783610e-01
2.3176670000e+03    1.0977689100e+00
2.3176598000e+03    1.0701750481e+00
2.2676300000e+03    4.5043000000e-06
2.2194934000e+03    2.0000000000e-10
2.2180226000e+03    3.0000000000e-10
2.2175060000e+03    0.0000000000e+00
2.1058481000e+03    0.0000000000e+00
1.9755559000e+03    1.0000000000e-10
1.9755552000e+03    1.0000000000e-10
