# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 44 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4918348000e+03    3.9176000000e-06
2.4914894000e+03    7.6700000000e-08
2.4907570000e+03    3.2375380000e-04
2.4901671000e+03    1.9041600000e-05
2.4897315000e+03    4.6700000000e-08
2.4895561000e+03    1.3449470000e-04
2.4892091000e+03    1.9149000000e-06
2.4886559000e+03    8.7528300000e-05
2.4878194000e+03    3.5248400000e-05
2.4876346000e+03    1.1289650000e-03
2.4868822000e+03    7.1977780000e-04
2.4867910000e+03    1.4025090000e-04
2.4867189000e+03    2.2760000000e-07
2.4863037000e+03    7.4122800000e-05
2.4861008000e+03    4.0143700000e-05
2.4858737000e+03    1.7743397000e-03
2.4855512000e+03    3.4147755000e-03
2.4849898000e+03    3.1907400000e-04
2.4846199000e+03    2.1429447000e-03
2.4837099000e+03    2.0971480000e-04
2.4824811000e+03    4.2839600000e-05
2.4813118000e+03    8.1536000000e-06
2.4807330000e+03    5.2383490000e-04
2.4779493000e+03    4.1534990000e-04
2.4775540000e+03    1.1950000000e-07
2.4770288000e+03    5.9368610000e-04
2.4744815000e+03    6.6694400000e-05
2.4710049000e+03    1.3767451000e-03
2.4684040000e+03    1.8157370000e-04
2.4650126000e+03    2.0000000000e-10
2.3177096000e+03    8.9939091800e-02
2.3177012000e+03    8.9923312400e-02
2.3176944000e+03    9.0028305500e-02
2.2676786000e+03    3.7530000000e-07
2.2203760000e+03    0.0000000000e+00
2.2203757000e+03    0.0000000000e+00
2.2201632000e+03    0.0000000000e+00
2.2201627000e+03    0.0000000000e+00
2.2196719000e+03    3.0000000000e-10
2.2195146000e+03    1.0000000000e-10
2.2180845000e+03    0.0000000000e+00
1.9758520000e+03    0.0000000000e+00
1.9758517000e+03    0.0000000000e+00
1.8250957000e+03    0.0000000000e+00
