# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4240918000e+03    1.1080514000e-03
2.4251454000e+03    5.9844300000e-05
2.4262767000e+03    4.5078402000e-03
2.4263630000e+03    9.1814010000e-04
2.4263929000e+03    3.3576923000e-03
2.4267842000e+03    4.8239037000e-03
2.4274743000e+03    1.5345650000e-04
2.4278784000e+03    2.1062530000e-04
2.4282034000e+03    4.8358600000e-05
2.4284212000e+03    6.3069100000e-05
2.4286937000e+03    1.1168600000e-05
2.4287494000e+03    5.0567060000e-04
2.4293083000e+03    3.6192290000e-04
2.4296140000e+03    3.0995500000e-05
2.4296692000e+03    5.0691000000e-06
2.4303422000e+03    2.0063800000e-04
2.4305706000e+03    1.5255780000e-04
2.4312699000e+03    6.1123400000e-05
2.4318515000e+03    1.3761122000e-03
2.4321177000e+03    1.7559106000e-03
2.4321282000e+03    1.4516600000e-05
2.4326479000e+03    2.4260460000e-04
2.4333208000e+03    1.2897890000e-04
2.4334144000e+03    2.8681240000e-04
2.4335699000e+03    1.9027900000e-04
2.4339426000e+03    8.0824890000e-04
2.4344573000e+03    1.4335860000e-04
2.4345198000e+03    3.9256640000e-04
2.4350709000e+03    8.2638000000e-06
2.4351748000e+03    1.2572950000e-04
2.4355868000e+03    1.6976900000e-05
2.4359529000e+03    7.1331300000e-05
2.4362674000e+03    7.4396180000e-04
2.4370486000e+03    1.9330000000e-05
2.4372386000e+03    1.3268670000e-04
2.4372977000e+03    1.0672582000e-03
2.4376565000e+03    4.8130000000e-05
2.4377768000e+03    6.6986960000e-04
2.4382635000e+03    8.3949500000e-05
2.4387119000e+03    2.3999980000e-04
2.4387149000e+03    4.5539820000e-04
2.4391357000e+03    6.1830690000e-04
2.4398259000e+03    1.6219044000e-03
2.4400429000e+03    9.7900640000e-04
2.4404085000e+03    1.9741650000e-04
2.4406125000e+03    3.0894680000e-04
2.4408866000e+03    9.8833000000e-06
2.4411101000e+03    7.8692010000e-04
2.4411674000e+03    8.7102430000e-04
2.4414343000e+03    4.4954250000e-04
