# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4225200000e+03    1.1271360000e-04
2.4248273000e+03    1.9415130000e-04
2.4250143000e+03    4.0361450000e-03
2.4257075000e+03    2.1849093000e-03
2.4260240000e+03    4.4438947000e-03
2.4264109000e+03    6.8937900000e-04
2.4283107000e+03    1.3456454000e-03
2.4283445000e+03    1.5672336000e-03
2.4287381000e+03    1.2568940000e-04
2.4298354000e+03    4.2225600000e-05
2.4302573000e+03    2.0294888000e-03
2.4306185000e+03    8.9668810000e-04
2.4313302000e+03    2.8054810000e-04
2.4321611000e+03    7.8175100000e-04
2.4325911000e+03    6.1354240000e-04
2.4328035000e+03    7.8113820000e-04
2.4333516000e+03    1.4018771000e-03
2.4335941000e+03    1.2214175000e-03
2.4341146000e+03    4.0106160000e-04
2.4344354000e+03    1.3005160000e-04
2.4355590000e+03    1.0215830000e-04
2.4357548000e+03    9.4902000000e-06
2.4358974000e+03    6.0143800000e-05
2.4367943000e+03    5.4817300000e-05
2.4373343000e+03    1.0482090000e-04
2.4374733000e+03    1.5167230000e-04
2.4376347000e+03    3.4001300000e-05
2.4376762000e+03    6.3726000000e-06
2.4389848000e+03    3.1174090000e-04
2.4392239000e+03    1.0041238000e-03
2.4397982000e+03    3.1437252000e-03
2.4399044000e+03    3.5791080000e-04
2.4404085000e+03    1.1577680000e-03
2.4408768000e+03    1.1379890000e-04
2.4409969000e+03    2.1334830000e-04
2.4413737000e+03    1.1715439000e-03
2.4423254000e+03    4.8794850000e-04
2.4426368000e+03    6.4307000000e-06
2.4430669000e+03    1.3118555000e-03
2.4430854000e+03    5.0887400000e-05
2.4431676000e+03    1.0667050000e-04
2.4433945000e+03    2.1612100000e-04
2.4445653000e+03    4.4825000000e-05
2.4452220000e+03    5.8628830000e-04
2.4453286000e+03    4.4367000000e-06
2.4465644000e+03    8.3563000000e-05
2.4470293000e+03    1.2185970000e-04
2.4471142000e+03    1.8594000000e-05
2.4472647000e+03    2.9475180000e-04
2.4479198000e+03    4.4821300000e-05
