# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 33 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4913132000e+03    2.0920000000e-07
2.4911706000e+03    6.9401110000e-04
2.4898374000e+03    1.3637000000e-05
2.4897946000e+03    3.9071590000e-04
2.4892988000e+03    3.0500000000e-08
2.4885717000e+03    1.8781820000e-04
2.4877353000e+03    3.2462550000e-04
2.4877038000e+03    3.2088800000e-05
2.4870275000e+03    2.9106210000e-04
2.4867645000e+03    1.0072812000e-03
2.4864755000e+03    7.5671440000e-04
2.4856125000e+03    2.6828087000e-03
2.4851422000e+03    1.4707399000e-03
2.4843116000e+03    1.7612551000e-03
2.4826397000e+03    1.0950199000e-03
2.4819775000e+03    4.5952120000e-04
2.4791204000e+03    3.3079270000e-04
2.4784125000e+03    4.7573730000e-04
2.4760001000e+03    2.6369500000e-04
2.4713456000e+03    1.3740160000e-04
2.4707174000e+03    1.3544808000e-03
2.4680722000e+03    1.7204500000e-04
2.3176343000e+03    9.0086581300e-02
2.3176254000e+03    8.9472616800e-02
2.3176238000e+03    8.9938497800e-02
2.2675855000e+03    9.5010000000e-07
2.2207224000e+03    0.0000000000e+00
2.2189735000e+03    2.0000000000e-10
2.2188399000e+03    0.0000000000e+00
2.2181275000e+03    1.0000000000e-10
2.1058895000e+03    0.0000000000e+00
1.9753866000e+03    0.0000000000e+00
1.9753859000e+03    0.0000000000e+00
