# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4249109000e+03    1.9802800000e-04
2.4256653000e+03    3.8451976000e-03
2.4263446000e+03    8.0772430000e-04
2.4264975000e+03    1.0042998000e-03
2.4265177000e+03    4.2890020000e-04
2.4267706000e+03    1.1497810000e-03
2.4270254000e+03    6.4154567000e-03
2.4271281000e+03    3.7048500000e-05
2.4274900000e+03    1.9697418000e-03
2.4277513000e+03    1.9034610000e-04
2.4279722000e+03    2.5887000000e-05
2.4282571000e+03    1.5778960000e-04
2.4284711000e+03    1.8327340000e-04
2.4285683000e+03    4.0689200000e-05
2.4286694000e+03    1.1376200000e-05
2.4287566000e+03    3.9781900000e-05
2.4289970000e+03    2.7634100000e-05
2.4291999000e+03    1.0191630000e-04
2.4292313000e+03    1.0647630000e-04
2.4293123000e+03    2.2232960000e-04
2.4297806000e+03    9.8623000000e-06
2.4298977000e+03    2.2741600000e-05
2.4299561000e+03    1.9369700000e-05
2.4301788000e+03    1.7376500000e-05
2.4302760000e+03    2.5331700000e-05
2.4304600000e+03    3.2094500000e-05
2.4306200000e+03    1.9204900000e-05
2.4307006000e+03    2.1104900000e-05
2.4308194000e+03    1.5785000000e-06
2.4310373000e+03    3.3506000000e-06
2.4310963000e+03    4.3067500000e-05
2.4312233000e+03    2.2551100000e-05
2.4315823000e+03    7.0100000000e-07
2.4319227000e+03    1.0512780000e-04
2.4321552000e+03    1.6237900000e-05
2.4325926000e+03    1.8437254000e-03
2.4327123000e+03    3.4948830000e-04
2.4328306000e+03    5.5950100000e-04
2.4329687000e+03    1.1685940000e-04
2.4330309000e+03    1.8032560000e-04
2.4333297000e+03    5.6345150000e-04
2.4335035000e+03    1.6169290000e-04
2.4336412000e+03    1.0399610000e-04
2.4337071000e+03    2.2609000000e-05
2.4338070000e+03    1.5229920000e-04
2.4340913000e+03    3.4806140000e-04
2.4342039000e+03    5.8461500000e-05
2.4346904000e+03    1.0708280000e-04
2.4347899000e+03    5.6726400000e-05
2.4348362000e+03    1.9729170000e-04
