# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 48 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4908736000e+03    6.4896190000e-04
2.4902537000e+03    2.0000000000e-09
2.4902125000e+03    2.2000000000e-08
2.4900172000e+03    1.7181770000e-04
2.4899898000e+03    1.8110600000e-05
2.4899160000e+03    2.2318700000e-05
2.4895836000e+03    1.5319000000e-04
2.4895030000e+03    3.2154000000e-05
2.4894722000e+03    2.7600000000e-08
2.4891829000e+03    1.4847600000e-05
2.4890775000e+03    1.3000000000e-08
2.4889596000e+03    1.3667000000e-06
2.4882925000e+03    2.0099750000e-04
2.4881330000e+03    1.0848250000e-04
2.4873079000e+03    1.5123610000e-04
2.4871998000e+03    1.4000000000e-09
2.4871687000e+03    2.3551120000e-04
2.4869033000e+03    1.1025440000e-04
2.4861099000e+03    1.8021768000e-03
2.4855072000e+03    2.9663990000e-03
2.4854169000e+03    9.6260000000e-07
2.4849091000e+03    2.9153804000e-03
2.4849043000e+03    1.1580942000e-03
2.4828815000e+03    6.4729800000e-05
2.4828683000e+03    1.4148700000e-05
2.4823343000e+03    8.6883000000e-06
2.4812768000e+03    2.6718270000e-04
2.4801874000e+03    2.0413070000e-04
2.4784782000e+03    2.5614960000e-04
2.4777799000e+03    3.0088950000e-04
2.4763115000e+03    1.8014480000e-04
2.4759077000e+03    3.7659430000e-04
2.4708205000e+03    1.3377576000e-03
2.4682057000e+03    1.9433980000e-04
2.3176401000e+03    8.9720404800e-02
2.3176389000e+03    9.0091143300e-02
2.3176268000e+03    8.9887415900e-02
2.2675986000e+03    6.9740000000e-07
2.2219836000e+03    0.0000000000e+00
2.2219835000e+03    0.0000000000e+00
2.2211470000e+03    0.0000000000e+00
2.2211465000e+03    0.0000000000e+00
2.2207615000e+03    0.0000000000e+00
2.2207611000e+03    0.0000000000e+00
2.2191184000e+03    1.0000000000e-10
2.2191181000e+03    1.0000000000e-10
1.9756049000e+03    0.0000000000e+00
1.9756025000e+03    0.0000000000e+00
