# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4243904000e+03    1.2937025000e-03
2.4250183000e+03    4.2928349000e-03
2.4255311000e+03    3.6188718000e-03
2.4262385000e+03    2.5396710000e-03
2.4272125000e+03    8.9732000000e-05
2.4274218000e+03    2.3924457000e-03
2.4276175000e+03    3.9413850000e-04
2.4279819000e+03    1.9364750000e-04
2.4281058000e+03    1.5678720000e-04
2.4281756000e+03    5.4483100000e-05
2.4284950000e+03    7.4299800000e-05
2.4285710000e+03    9.7728800000e-05
2.4286685000e+03    5.3141700000e-05
2.4288308000e+03    4.4143200000e-05
2.4291211000e+03    6.2369900000e-05
2.4292396000e+03    1.5325650000e-04
2.4293925000e+03    3.2935400000e-05
2.4294689000e+03    6.2279200000e-05
2.4295899000e+03    5.2837800000e-05
2.4297208000e+03    4.0293400000e-05
2.4297911000e+03    1.8336320000e-04
2.4300492000e+03    2.1688650000e-04
2.4302051000e+03    4.9450100000e-05
2.4302167000e+03    1.1315700000e-04
2.4303985000e+03    3.1957020000e-04
2.4305042000e+03    4.9893600000e-05
2.4307598000e+03    3.4577500000e-04
2.4308563000e+03    4.5502410000e-04
2.4310423000e+03    6.9125400000e-05
2.4312918000e+03    2.9135600000e-05
2.4314132000e+03    1.9192420000e-04
2.4318890000e+03    1.4712230000e-04
2.4319898000e+03    8.6363000000e-05
2.4322509000e+03    6.4350660000e-04
2.4324065000e+03    6.9316100000e-05
2.4325876000e+03    8.9961770000e-04
2.4328691000e+03    8.4514820000e-04
2.4332657000e+03    4.6500940000e-04
2.4334616000e+03    7.5655500000e-05
2.4335144000e+03    3.4028190000e-04
2.4337075000e+03    8.1900200000e-05
2.4338786000e+03    1.4976470000e-04
2.4341697000e+03    5.0009970000e-04
2.4342864000e+03    1.8772040000e-04
2.4344308000e+03    3.2513000000e-05
2.4345344000e+03    1.3032650000e-04
2.4348575000e+03    5.3046700000e-05
2.4351561000e+03    4.2210800000e-05
2.4353320000e+03    9.7126900000e-05
2.4354760000e+03    2.5309810000e-04
