# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 67 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4915668000e+03    1.0625590000e-04
2.4912161000e+03    7.5690620000e-04
2.4902862000e+03    8.7528800000e-05
2.4900963000e+03    2.2215600000e-05
2.4900359000e+03    6.1350000000e-07
2.4900122000e+03    2.0648500000e-05
2.4898237000e+03    3.8882900000e-05
2.4896545000e+03    3.8574700000e-05
2.4895007000e+03    3.2107810000e-04
2.4892654000e+03    3.2938800000e-05
2.4891805000e+03    2.2207800000e-05
2.4890641000e+03    9.9090000000e-07
2.4888988000e+03    1.1782800000e-05
2.4888519000e+03    4.9440000000e-07
2.4885650000e+03    4.5037000000e-06
2.4883970000e+03    4.5997600000e-05
2.4883360000e+03    1.3069140000e-04
2.4877190000e+03    1.4797540000e-04
2.4876658000e+03    2.2109380000e-04
2.4874473000e+03    5.0820210000e-04
2.4873662000e+03    6.1699000000e-05
2.4871403000e+03    4.1602700000e-05
2.4869047000e+03    1.7555600000e-05
2.4867656000e+03    9.0662000000e-06
2.4866164000e+03    1.1223500000e-05
2.4863099000e+03    4.5097610000e-04
2.4859576000e+03    1.4973414000e-03
2.4854425000e+03    9.3151840000e-04
2.4850998000e+03    9.5160830000e-04
2.4848674000e+03    1.2187540000e-03
2.4847206000e+03    8.8740130000e-04
2.4845711000e+03    4.8827070000e-04
2.4837516000e+03    1.4275037000e-03
2.4829691000e+03    3.2664310000e-04
2.4824789000e+03    5.3833500000e-05
2.4813900000e+03    4.3252450000e-04
2.4803706000e+03    5.2180000000e-07
2.4803409000e+03    5.5726000000e-06
2.4796134000e+03    2.0389830000e-04
2.4791885000e+03    3.8608200000e-05
2.4787101000e+03    4.1418110000e-04
2.4769020000e+03    1.6752700000e-05
2.4765605000e+03    9.4321000000e-06
2.4761967000e+03    4.3057300000e-04
2.4719403000e+03    5.2422000000e-06
2.4705841000e+03    1.2991828000e-03
2.4686564000e+03    8.1326900000e-05
2.4679011000e+03    1.5174430000e-04
2.3175903000e+03    9.0062257000e-02
2.3175834000e+03    8.9716362800e-02
2.3175696000e+03    8.9799994700e-02
2.2675251000e+03    1.2644000000e-06
2.2218512000e+03    0.0000000000e+00
2.2218054000e+03    0.0000000000e+00
2.2216909000e+03    0.0000000000e+00
2.2216503000e+03    0.0000000000e+00
2.2208643000e+03    0.0000000000e+00
2.2208188000e+03    0.0000000000e+00
2.2205297000e+03    0.0000000000e+00
2.2198229000e+03    0.0000000000e+00
2.2197699000e+03    0.0000000000e+00
2.2188873000e+03    1.0000000000e-10
2.2165970000e+03    1.0000000000e-10
2.1055608000e+03    0.0000000000e+00
1.9755939000e+03    0.0000000000e+00
1.9753304000e+03    0.0000000000e+00
1.9753137000e+03    0.0000000000e+00
