# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4237569000e+03    9.9364940000e-04
2.4250180000e+03    1.7033990000e-04
2.4250402000e+03    7.5229400000e-04
2.4254290000e+03    8.1000000000e-09
2.4262769000e+03    3.6209490000e-04
2.4263647000e+03    3.1983920000e-03
2.4268996000e+03    4.0016156000e-03
2.4269587000e+03    5.1528376000e-03
2.4278718000e+03    4.7879500000e-04
2.4279371000e+03    5.4795800000e-05
2.4280494000e+03    4.6070000000e-07
2.4282337000e+03    1.6708000000e-06
2.4285128000e+03    4.7110000000e-07
2.4285506000e+03    4.2837600000e-05
2.4290317000e+03    4.4438660000e-04
2.4292335000e+03    5.1033470000e-04
2.4292381000e+03    9.9256500000e-05
2.4295594000e+03    2.3082680000e-04
2.4298273000e+03    2.3044000000e-06
2.4301351000e+03    1.2399240000e-04
2.4301470000e+03    9.6898500000e-05
2.4304505000e+03    5.5483900000e-05
2.4306841000e+03    2.3107180000e-04
2.4307660000e+03    3.6040000000e-07
2.4311055000e+03    2.4745700000e-05
2.4316378000e+03    3.4944400000e-05
2.4319113000e+03    1.3765078000e-03
2.4320060000e+03    1.2915834000e-03
2.4320651000e+03    1.0270000000e-07
2.4327916000e+03    6.6074590000e-04
2.4328722000e+03    9.7096500000e-05
2.4333877000e+03    4.9598000000e-06
2.4334801000e+03    9.2598000000e-06
2.4338032000e+03    3.0530000000e-07
2.4339078000e+03    7.4042400000e-05
2.4341061000e+03    4.7389660000e-04
2.4344178000e+03    7.9149100000e-05
2.4345293000e+03    1.2860000000e-07
2.4350182000e+03    5.2471400000e-05
2.4352064000e+03    1.9775600000e-05
2.4353833000e+03    2.2140585000e-03
2.4356107000e+03    2.5788600000e-05
2.4356154000e+03    3.6339000000e-05
2.4357699000e+03    4.7390000000e-06
2.4359745000e+03    5.9893300000e-05
2.4360778000e+03    5.3015700000e-05
2.4365105000e+03    6.2070000000e-07
2.4368899000e+03    4.8792000000e-06
2.4370252000e+03    3.1484000000e-06
2.4372105000e+03    1.7119600000e-05
