# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4247494000e+03    3.5417776000e-03
2.4257247000e+03    3.4340780000e-04
2.4259687000e+03    5.3799232000e-03
2.4260679000e+03    3.5196811000e-03
2.4267905000e+03    1.2130112000e-03
2.4269854000e+03    3.3392500000e-04
2.4274828000e+03    1.4997540000e-04
2.4276411000e+03    2.9001200000e-05
2.4278464000e+03    9.5063000000e-06
2.4280475000e+03    6.7027200000e-05
2.4284189000e+03    1.0001910000e-04
2.4286263000e+03    6.2955100000e-05
2.4288273000e+03    9.0245000000e-06
2.4290091000e+03    2.9975500000e-05
2.4292165000e+03    3.6667200000e-05
2.4293725000e+03    5.8751200000e-05
2.4296411000e+03    4.4903690000e-04
2.4298189000e+03    3.8461940000e-04
2.4299638000e+03    1.2848310000e-04
2.4301139000e+03    1.1495690000e-04
2.4304530000e+03    4.4039440000e-04
2.4305550000e+03    9.3031500000e-05
2.4306439000e+03    2.7569710000e-04
2.4309606000e+03    1.8146420000e-04
2.4311211000e+03    1.7078500000e-05
2.4312756000e+03    1.2968687000e-03
2.4315910000e+03    9.5478800000e-05
2.4320199000e+03    8.2559400000e-05
2.4324577000e+03    1.5657600000e-05
2.4325504000e+03    1.2907290000e-04
2.4329517000e+03    9.3733580000e-04
2.4335523000e+03    7.5410040000e-04
2.4339242000e+03    4.8792350000e-04
2.4340306000e+03    1.7982790000e-04
2.4343053000e+03    2.7306930000e-04
2.4343620000e+03    1.6508960000e-04
2.4346336000e+03    6.3029090000e-04
2.4348775000e+03    6.4439170000e-04
2.4351492000e+03    2.2019480000e-04
2.4355858000e+03    5.4593470000e-04
2.4359158000e+03    2.3051590000e-04
2.4361681000e+03    1.2406690000e-04
2.4363355000e+03    1.5278400000e-05
2.4365354000e+03    7.7240670000e-04
2.4370603000e+03    3.1175600000e-05
2.4371838000e+03    3.9656100000e-04
2.4375120000e+03    2.3895300000e-05
2.4376803000e+03    2.0250600000e-04
2.4380317000e+03    2.1147920000e-04
2.4383158000e+03    7.1595900000e-05
