# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 72 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.8571396000e+03    7.6115000000e-06
2.8569796000e+03    4.7619000000e-06
2.8554762000e+03    2.0235000000e-05
2.8554060000e+03    4.3901600000e-05
2.8551632000e+03    9.6210450000e-04
2.8550049000e+03    3.8676000000e-06
2.8549224000e+03    1.4255130000e-04
2.8547758000e+03    2.3993370000e-04
2.8547037000e+03    6.2260200000e-05
2.8546029000e+03    2.5346000000e-04
2.8540359000e+03    9.8936800000e-05
2.8533273000e+03    1.4057100000e-05
2.8529892000e+03    6.0675890000e-03
2.8527633000e+03    1.2832435000e-03
2.8526306000e+03    2.2879623000e-03
2.8522256000e+03    8.0336470000e-04
2.8520764000e+03    2.3584450000e-04
2.8517658000e+03    2.3928810000e-04
2.8515226000e+03    1.3445530000e-04
2.8512142000e+03    4.5199500000e-04
2.8510449000e+03    1.7035550000e-04
2.8508174000e+03    3.2269760000e-04
2.8504530000e+03    7.5038300000e-04
2.8504035000e+03    1.1283821000e-03
2.8499351000e+03    1.2619760000e-04
2.8499041000e+03    3.3432600000e-05
2.8493068000e+03    3.8484120000e-04
2.8490276000e+03    2.1952560000e-04
2.8483764000e+03    5.1645090000e-04
2.8480762000e+03    2.6169310000e-04
2.8476989000e+03    5.0482560000e-04
2.8464752000e+03    1.2284000000e-06
2.8460345000e+03    1.5391000000e-06
2.8451374000e+03    1.4544440000e-04
2.8442885000e+03    3.6010500000e-05
2.8436579000e+03    2.5380000000e-05
2.8427540000e+03    1.6897900000e-05
2.8413844000e+03    5.5112000000e-06
2.8405224000e+03    8.4480000000e-07
2.8401795000e+03    1.6000000000e-08
2.8392639000e+03    2.2371000000e-06
2.8380123000e+03    1.4287480000e-04
2.8375181000e+03    2.0766000000e-06
2.8361879000e+03    2.2000000000e-09
2.8354258000e+03    4.3818000000e-06
2.8351750000e+03    3.6798700000e-05
2.8334208000e+03    1.0000000000e-10
2.6982766000e+03    0.0000000000e+00
2.6982511000e+03    0.0000000000e+00
2.6982095000e+03    0.0000000000e+00
2.6421900000e+03    9.0369255400e-02
2.6421829000e+03    9.0428252400e-02
2.6420904000e+03    2.0000000000e-10
2.6420103000e+03    9.1386625700e-02
2.5877829000e+03    1.2250000000e-06
2.5853170000e+03    0.0000000000e+00
2.5844613000e+03    0.0000000000e+00
2.5836442000e+03    0.0000000000e+00
2.5834231000e+03    0.0000000000e+00
2.5833448000e+03    0.0000000000e+00
2.5833374000e+03    0.0000000000e+00
2.5833117000e+03    0.0000000000e+00
2.5829206000e+03    1.0000000000e-10
2.5824154000e+03    0.0000000000e+00
2.5813871000e+03    3.0000000000e-10
2.4740447000e+03    0.0000000000e+00
2.4719750000e+03    0.0000000000e+00
2.4705669000e+03    0.0000000000e+00
2.4704306000e+03    0.0000000000e+00
2.3416265000e+03    0.0000000000e+00
2.3415679000e+03    0.0000000000e+00
4.3681830000e+02    0.0000000000e+00
