# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4200189000e+03    2.6096291600e-02
2.4201741000e+03    4.6744401200e-02
2.4207768000e+03    1.9578695600e-02
2.4215247000e+03    3.4545570000e-04
2.4224045000e+03    1.2888628000e-02
2.4227058000e+03    1.6802915900e-02
2.4231519000e+03    5.1925000000e-03
2.4237152000e+03    5.0286243000e-03
2.4239301000e+03    7.8908205000e-03
2.4239996000e+03    2.6934605000e-03
2.4241041000e+03    6.0481070000e-04
2.4241554000e+03    4.6780308000e-03
2.4243887000e+03    1.3217730000e-04
2.4245643000e+03    1.2194133000e-03
2.4247853000e+03    2.8796306000e-03
2.4249192000e+03    1.2688466000e-03
2.4251199000e+03    2.7004370000e-04
2.4251613000e+03    5.5662310000e-04
2.4252143000e+03    1.5729040000e-04
2.4252492000e+03    9.1458680000e-04
2.4253608000e+03    9.6459032000e-03
2.4253796000e+03    1.4836710000e-04
2.4256331000e+03    3.5375100000e-04
2.4258873000e+03    6.5189352000e-03
2.4260662000e+03    4.3245405000e-03
2.4261735000e+03    5.3356194000e-03
2.4261874000e+03    3.9140560000e-04
2.4263039000e+03    1.7681484100e-02
2.4264131000e+03    1.4297250000e-04
2.4265436000e+03    1.5059263000e-03
2.4265619000e+03    1.2016093000e-03
2.4266773000e+03    3.7673180000e-04
2.4269106000e+03    6.7128588000e-03
2.4269930000e+03    4.5567340000e-04
2.4270251000e+03    5.0841156000e-03
2.4271319000e+03    3.3219110000e-04
2.4272965000e+03    3.0403830900e-02
2.4273977000e+03    2.5728899300e-02
2.4274492000e+03    2.1731979700e-02
2.4276381000e+03    2.7052989800e-02
2.4276521000e+03    2.7746906000e-03
2.4278424000e+03    8.0621112000e-03
2.4282710000e+03    9.9525800000e-05
2.4284713000e+03    2.2979200000e-04
2.4285825000e+03    2.4587940000e-04
2.4286450000e+03    2.1406857000e-02
2.4286988000e+03    1.1092160000e-04
2.4287863000e+03    2.1730120000e-04
2.4289625000e+03    5.0388081000e-03
2.4290468000e+03    3.0698700000e-05
