# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 35 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4922753000e+03    3.8678400000e-05
2.4907535000e+03    2.3880890000e-04
2.4902375000e+03    1.8533000000e-05
2.4898320000e+03    5.2700000000e-08
2.4896557000e+03    1.3209790000e-04
2.4895114000e+03    3.6500000000e-08
2.4886901000e+03    1.0331720000e-04
2.4878554000e+03    3.2359900000e-05
2.4876203000e+03    4.3829990000e-04
2.4870452000e+03    3.1350990000e-04
2.4868765000e+03    1.1171721000e-03
2.4864569000e+03    7.7119440000e-04
2.4862026000e+03    6.8506730000e-04
2.4857235000e+03    2.2339910000e-03
2.4853293000e+03    1.1541109000e-03
2.4850214000e+03    2.9314615000e-03
2.4840617000e+03    5.2565390000e-04
2.4818392000e+03    1.6543890000e-04
2.4791332000e+03    2.7343420000e-04
2.4777685000e+03    4.5219340000e-04
2.4766127000e+03    5.7783960000e-04
2.4710116000e+03    1.4099088000e-03
2.4702081000e+03    5.2795000000e-06
2.4683990000e+03    1.7693960000e-04
2.3176918000e+03    8.9782538400e-02
2.3176878000e+03    9.0058350800e-02
2.3176871000e+03    8.9887720500e-02
2.2676624000e+03    2.7380000000e-07
2.2214565000e+03    0.0000000000e+00
2.2194854000e+03    1.0000000000e-10
2.2192259000e+03    1.0000000000e-10
2.2185150000e+03    0.0000000000e+00
1.9771923000e+03    0.0000000000e+00
1.9758637000e+03    0.0000000000e+00
1.9758634000e+03    0.0000000000e+00
