# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4252051000e+03    3.1040345000e-03
2.4260475000e+03    4.3707270000e-04
2.4262682000e+03    4.2660540000e-03
2.4262875000e+03    4.2732943000e-03
2.4263699000e+03    2.2871879000e-03
2.4269510000e+03    1.3709850000e-04
2.4273197000e+03    3.1448100000e-05
2.4278750000e+03    1.7426510000e-04
2.4281062000e+03    1.6705580000e-04
2.4285337000e+03    1.2077760000e-04
2.4286393000e+03    2.1604750000e-04
2.4289254000e+03    1.5131070000e-04
2.4291849000e+03    2.3636390000e-04
2.4293808000e+03    1.1423400000e-04
2.4298842000e+03    1.1059320000e-04
2.4305558000e+03    2.3656780000e-04
2.4312935000e+03    2.7239980000e-04
2.4314061000e+03    1.7039451000e-03
2.4320144000e+03    1.1309480000e-04
2.4322546000e+03    1.1003226000e-03
2.4327773000e+03    5.4919820000e-04
2.4331360000e+03    4.1522450000e-04
2.4332628000e+03    9.7116500000e-05
2.4335214000e+03    6.9113540000e-04
2.4341566000e+03    7.6046690000e-04
2.4346464000e+03    2.8696300000e-05
2.4349238000e+03    3.1999060000e-04
2.4356220000e+03    2.1681380000e-04
2.4358250000e+03    8.9366500000e-05
2.4360746000e+03    1.3528030000e-04
2.4363588000e+03    5.0029810000e-04
2.4366754000e+03    9.6662400000e-05
2.4367818000e+03    1.1675220000e-04
2.4375018000e+03    5.7246700000e-05
2.4378178000e+03    1.5925270000e-04
2.4388937000e+03    1.0355874000e-03
2.4392458000e+03    1.6131343000e-03
2.4394507000e+03    1.9544940000e-04
2.4395220000e+03    2.7710427000e-03
2.4401424000e+03    7.3166420000e-04
2.4403335000e+03    7.0683810000e-04
2.4407860000e+03    9.1820010000e-04
2.4409753000e+03    5.8735600000e-05
2.4410445000e+03    7.7708270000e-04
2.4412465000e+03    3.2040040000e-04
2.4413427000e+03    1.4513280000e-04
2.4415172000e+03    9.1206400000e-05
2.4417501000e+03    2.7160330000e-04
2.4419432000e+03    1.7141300000e-04
2.4423271000e+03    1.5025200000e-05
