# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4916817000e+03    9.8000000000e-08
2.4915592000e+03    2.0223000000e-06
2.4907791000e+03    3.7550200000e-04
2.4901414000e+03    1.9091800000e-05
2.4897074000e+03    6.4400000000e-08
2.4895579000e+03    1.7409630000e-04
2.4891727000e+03    2.9703000000e-06
2.4886718000e+03    3.7694440000e-04
2.4884290000e+03    4.6079300000e-05
2.4870359000e+03    9.5928000000e-06
2.4869582000e+03    4.7949550000e-04
2.4868522000e+03    9.7084650000e-04
2.4864865000e+03    3.1699100000e-05
2.4862298000e+03    3.1461420000e-04
2.4855963000e+03    2.6104193000e-03
2.4855793000e+03    1.6868777000e-03
2.4854018000e+03    2.3198520000e-03
2.4840856000e+03    1.1147824000e-03
2.4826433000e+03    8.5792100000e-05
2.4818212000e+03    1.3623200000e-05
2.4807345000e+03    5.3671700000e-04
2.4779384000e+03    3.9450290000e-04
2.4778286000e+03    2.1360000000e-07
2.4770359000e+03    5.9375350000e-04
2.4746686000e+03    7.7236400000e-05
2.4709854000e+03    1.3731675000e-03
2.4683847000e+03    1.8305200000e-04
2.3177023000e+03    8.9967456800e-02
2.3176946000e+03    8.9883879100e-02
2.3176873000e+03    9.0020594900e-02
2.2676703000e+03    4.1140000000e-07
2.2204880000e+03    0.0000000000e+00
2.2204867000e+03    0.0000000000e+00
2.2203787000e+03    0.0000000000e+00
2.2203465000e+03    0.0000000000e+00
2.2203459000e+03    0.0000000000e+00
2.2196656000e+03    3.0000000000e-10
2.2194697000e+03    1.0000000000e-10
1.9758274000e+03    0.0000000000e+00
1.9758261000e+03    0.0000000000e+00
