# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 51 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4918259000e+03    9.2900000000e-08
2.4917116000e+03    8.6714000000e-06
2.4913301000e+03    1.6610000000e-07
2.4911350000e+03    2.0002860000e-04
2.4909927000e+03    6.0900000000e-08
2.4905609000e+03    1.4962580000e-04
2.4901041000e+03    1.7694700000e-05
2.4896647000e+03    1.2870000000e-07
2.4895952000e+03    1.7628680000e-04
2.4893134000e+03    2.0251000000e-06
2.4887774000e+03    2.8999450000e-04
2.4885229000e+03    3.2493300000e-05
2.4871719000e+03    6.8200000000e-08
2.4867240000e+03    2.6901600000e-04
2.4867092000e+03    1.1637149000e-03
2.4863428000e+03    1.5166050000e-04
2.4861654000e+03    2.2888971000e-03
2.4858504000e+03    1.7569303000e-03
2.4857749000e+03    1.3899380000e-03
2.4849232000e+03    2.3795520000e-04
2.4846040000e+03    5.9735470000e-04
2.4844414000e+03    3.5906430000e-04
2.4838938000e+03    1.1622730000e-03
2.4827830000e+03    9.7434900000e-05
2.4820255000e+03    5.4365180000e-04
2.4819576000e+03    1.6047000000e-05
2.4800726000e+03    4.8874580000e-04
2.4779600000e+03    2.8290000000e-07
2.4775816000e+03    3.4374510000e-04
2.4761589000e+03    3.2936480000e-04
2.4747799000e+03    9.2177900000e-05
2.4709080000e+03    1.4082554000e-03
2.4700758000e+03    3.2599000000e-06
2.4683255000e+03    1.8185560000e-04
2.4653513000e+03    6.6120000000e-07
2.3177112000e+03    9.0161575300e-02
2.3177002000e+03    8.9707329300e-02
2.3176972000e+03    8.9954682300e-02
2.2676771000e+03    3.6220000000e-07
2.2206459000e+03    0.0000000000e+00
2.2206443000e+03    0.0000000000e+00
2.2205169000e+03    0.0000000000e+00
2.2204621000e+03    0.0000000000e+00
2.2204607000e+03    0.0000000000e+00
2.2197430000e+03    3.0000000000e-10
2.2184375000e+03    1.0000000000e-10
2.1019013000e+03    0.0000000000e+00
1.9762148000e+03    0.0000000000e+00
1.9762018000e+03    0.0000000000e+00
1.9757702000e+03    0.0000000000e+00
1.9757694000e+03    0.0000000000e+00
