# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 87 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4940800000e+03    6.7346000000e-06
2.4930429000e+03    1.7076800000e-05
2.4916861000e+03    1.4308100000e-05
2.4914465000e+03    5.3000000000e-08
2.4913477000e+03    8.5610000000e-07
2.4907787000e+03    2.2095880000e-04
2.4907589000e+03    1.6074360000e-04
2.4905642000e+03    2.4541000000e-06
2.4902318000e+03    2.8305000000e-06
2.4900695000e+03    5.9304000000e-06
2.4899940000e+03    1.4415700000e-05
2.4899134000e+03    3.4167000000e-05
2.4898120000e+03    1.6442100000e-05
2.4896526000e+03    1.7920000000e-06
2.4895584000e+03    3.8526300000e-05
2.4894344000e+03    6.5649900000e-05
2.4891791000e+03    3.7744000000e-06
2.4887615000e+03    5.1487500000e-05
2.4886796000e+03    6.0993100000e-05
2.4884779000e+03    1.7535300000e-04
2.4883645000e+03    1.5308050000e-04
2.4882821000e+03    3.7913500000e-05
2.4881877000e+03    1.2765900000e-05
2.4880707000e+03    1.0929280000e-04
2.4879619000e+03    7.0787700000e-05
2.4874361000e+03    2.3436400000e-05
2.4873208000e+03    2.4176100000e-05
2.4868554000e+03    1.6789600000e-05
2.4866497000e+03    2.7761800000e-05
2.4864904000e+03    3.0848290000e-04
2.4863559000e+03    6.3400060000e-04
2.4863289000e+03    9.9227170000e-04
2.4861076000e+03    8.8409870000e-04
2.4858806000e+03    1.3563299000e-03
2.4856085000e+03    4.4003980000e-04
2.4854286000e+03    8.1850230000e-04
2.4852270000e+03    1.0452317000e-03
2.4850085000e+03    1.1687523000e-03
2.4843774000e+03    4.4123570000e-04
2.4841422000e+03    7.2905200000e-05
2.4832160000e+03    5.4708670000e-04
2.4829483000e+03    3.4283500000e-04
2.4829139000e+03    5.9035200000e-05
2.4819963000e+03    1.0741600000e-05
2.4817949000e+03    7.5163400000e-05
2.4809395000e+03    3.7688270000e-04
2.4806758000e+03    2.2260000000e-07
2.4806009000e+03    7.6950000000e-07
2.4800363000e+03    1.7159240000e-04
2.4797566000e+03    2.3888840000e-04
2.4782327000e+03    5.4052400000e-05
2.4775849000e+03    2.1514860000e-04
2.4773011000e+03    3.0424500000e-05
2.4771968000e+03    1.0807930000e-04
2.4765955000e+03    3.4211850000e-04
2.4748193000e+03    9.1261900000e-05
2.4744408000e+03    2.3849900000e-05
2.4744263000e+03    1.6326300000e-05
2.4716162000e+03    4.9181200000e-05
2.4711084000e+03    1.3142611000e-03
2.4684190000e+03    1.8276840000e-04
2.3177206000e+03    8.9958519800e-02
2.3177101000e+03    8.9837480300e-02
2.3176969000e+03    9.0114484700e-02
2.2676918000e+03    4.1120000000e-07
2.2221181000e+03    0.0000000000e+00
2.2219028000e+03    0.0000000000e+00
2.2218707000e+03    0.0000000000e+00
2.2213512000e+03    0.0000000000e+00
2.2212821000e+03    0.0000000000e+00
2.2204578000e+03    0.0000000000e+00
2.2204570000e+03    0.0000000000e+00
2.2202653000e+03    0.0000000000e+00
2.2202609000e+03    0.0000000000e+00
2.2202574000e+03    0.0000000000e+00
2.2202568000e+03    0.0000000000e+00
2.2201743000e+03    0.0000000000e+00
2.2201664000e+03    0.0000000000e+00
2.2199830000e+03    0.0000000000e+00
2.2196442000e+03    2.0000000000e-10
2.2196392000e+03    2.0000000000e-10
2.2188334000e+03    0.0000000000e+00
2.2188016000e+03    0.0000000000e+00
2.1090778000e+03    0.0000000000e+00
2.1062457000e+03    0.0000000000e+00
1.9759981000e+03    0.0000000000e+00
1.9757986000e+03    0.0000000000e+00
