# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4247365000e+03    1.7145671000e-03
2.4252212000e+03    4.5171742000e-03
2.4258355000e+03    2.0498318000e-03
2.4258696000e+03    3.8296812000e-03
2.4260698000e+03    4.4322270000e-04
2.4263678000e+03    6.1060940000e-04
2.4271888000e+03    1.6914200000e-05
2.4275711000e+03    2.2845000000e-05
2.4280462000e+03    1.3513420000e-04
2.4283310000e+03    2.1603370000e-04
2.4285628000e+03    1.3178820000e-04
2.4287472000e+03    1.1266722000e-03
2.4290766000e+03    3.0300000000e-05
2.4292890000e+03    1.2130520000e-04
2.4295129000e+03    8.0360170000e-04
2.4296344000e+03    1.2614050000e-04
2.4299960000e+03    1.2363740000e-04
2.4301126000e+03    2.9522350000e-04
2.4303691000e+03    3.4304660000e-04
2.4304949000e+03    4.8170850000e-04
2.4307245000e+03    1.4492820000e-04
2.4313635000e+03    1.7317390000e-04
2.4315931000e+03    4.7838150000e-04
2.4319006000e+03    4.1330620000e-04
2.4322895000e+03    1.0603797000e-03
2.4327699000e+03    3.1938420000e-04
2.4328522000e+03    3.9620010000e-04
2.4331179000e+03    5.3027570000e-04
2.4332051000e+03    5.4176140000e-04
2.4338422000e+03    3.8923940000e-04
2.4340581000e+03    7.6089670000e-04
2.4341133000e+03    1.1854260000e-04
2.4348310000e+03    4.3784910000e-04
2.4349916000e+03    6.7763500000e-05
2.4355401000e+03    2.6575950000e-04
2.4356399000e+03    1.7847900000e-05
2.4359227000e+03    3.2311580000e-04
2.4361826000e+03    1.5959470000e-04
2.4364009000e+03    2.5431070000e-04
2.4364949000e+03    8.4457900000e-05
2.4370795000e+03    3.3245190000e-04
2.4372948000e+03    9.2985800000e-05
2.4377407000e+03    3.0315110000e-04
2.4377861000e+03    2.0354510000e-04
2.4383702000e+03    1.3501900000e-04
2.4386137000e+03    9.6953400000e-05
2.4390755000e+03    2.3821400000e-05
2.4396372000e+03    7.6785280000e-04
2.4397275000e+03    9.0380010000e-04
2.4399573000e+03    1.3266510000e-04
