# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 41 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4926577000e+03    5.1000000000e-09
2.4912462000e+03    4.7010000000e-07
2.4911270000e+03    2.0607823000e-03
2.4905985000e+03    1.5739300000e-05
2.4903677000e+03    1.8561357000e-03
2.4901557000e+03    8.7748200000e-05
2.4901078000e+03    1.1576000000e-06
2.4900658000e+03    8.0000000000e-09
2.4897000000e+03    2.0700000000e-08
2.4895895000e+03    8.2420000000e-07
2.4895145000e+03    7.1095090000e-04
2.4893453000e+03    3.5281500000e-05
2.4886119000e+03    0.0000000000e+00
2.4874045000e+03    2.1908771000e-03
2.4871660000e+03    5.3704907000e-03
2.4869541000e+03    1.4404420000e-04
2.4866077000e+03    5.5363741000e-03
2.4859641000e+03    1.9467318400e-02
2.4858305000e+03    3.9204311000e-03
2.4849911000e+03    1.2052066900e-02
2.4834679000e+03    1.0754843100e-02
2.4829901000e+03    3.6425900000e-05
2.4799879000e+03    4.3533357000e-03
2.4791469000e+03    7.8621420000e-04
2.4763020000e+03    1.9428064000e-03
2.4753316000e+03    4.9344000000e-05
2.4749364000e+03    3.4740680000e-04
2.4742979000e+03    1.7305910000e-04
2.4730714000e+03    1.0399968000e-03
2.4709211000e+03    1.0312014300e-02
2.4682656000e+03    1.2337519000e-03
2.3177077000e+03    5.6244090110e-01
2.3177060000e+03    5.7986029680e-01
2.3176881000e+03    3.4343585440e-01
2.2676730000e+03    1.6670000000e-06
2.2182653000e+03    4.0000000000e-10
2.2182651000e+03    2.0000000000e-10
2.2179850000e+03    1.0000000000e-10
2.2179765000e+03    0.0000000000e+00
1.9756996000e+03    0.0000000000e+00
1.9756993000e+03    0.0000000000e+00
