# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4225213000e+03    2.1745700000e-04
2.4251589000e+03    3.3205214000e-03
2.4255718000e+03    1.6909450000e-04
2.4258164000e+03    5.8461261000e-03
2.4265699000e+03    2.1083370000e-03
2.4273050000e+03    8.4311000000e-06
2.4273323000e+03    1.6650977000e-03
2.4285020000e+03    9.1675600000e-05
2.4291353000e+03    8.2203500000e-05
2.4293972000e+03    2.6602403000e-03
2.4297131000e+03    7.6013570000e-04
2.4305433000e+03    2.2416100000e-04
2.4320055000e+03    8.6885990000e-04
2.4322923000e+03    2.1960575000e-03
2.4326054000e+03    5.1074160000e-04
2.4328022000e+03    8.6823530000e-04
2.4332110000e+03    8.3490680000e-04
2.4339325000e+03    1.1359520000e-04
2.4344050000e+03    4.0942210000e-04
2.4352960000e+03    1.9586450000e-04
2.4354395000e+03    8.6753000000e-05
2.4355375000e+03    8.7152300000e-05
2.4361410000e+03    9.4000000000e-08
2.4367904000e+03    2.3071960000e-04
2.4370460000e+03    1.3100000000e-08
2.4373070000e+03    1.1444700000e-05
2.4377072000e+03    3.7190000000e-07
2.4378107000e+03    3.2708600000e-05
2.4392232000e+03    2.7849581000e-03
2.4394774000e+03    4.2984500000e-05
2.4398019000e+03    7.8586500000e-04
2.4402254000e+03    2.6244253000e-03
2.4404024000e+03    8.5123900000e-04
2.4410656000e+03    6.0082540000e-04
2.4414583000e+03    1.8762720000e-04
2.4421705000e+03    1.0060614000e-03
2.4422949000e+03    3.1056190000e-04
2.4427001000e+03    1.5526440000e-04
2.4431363000e+03    9.8943000000e-05
2.4435411000e+03    4.1594350000e-04
2.4437059000e+03    7.7914000000e-06
2.4443102000e+03    5.9525900000e-05
2.4449199000e+03    4.0263100000e-05
2.4452506000e+03    7.9619800000e-05
2.4457577000e+03    1.1211100000e-05
2.4462054000e+03    1.7442920000e-04
2.4469093000e+03    1.3957970000e-04
2.4471122000e+03    1.1158800000e-04
2.4480106000e+03    4.4146000000e-06
2.4484726000e+03    8.0162300000e-05
