# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4236319000e+03    5.8426580000e-04
2.4254902000e+03    2.8461290000e-03
2.4258937000e+03    1.9478089000e-03
2.4262429000e+03    1.4510854000e-03
2.4265422000e+03    3.3821429000e-03
2.4266255000e+03    1.6941191000e-03
2.4271810000e+03    7.3382230000e-04
2.4274146000e+03    9.2616100000e-04
2.4275696000e+03    7.6285900000e-05
2.4276744000e+03    5.3317800000e-05
2.4278432000e+03    3.5124090000e-04
2.4282627000e+03    8.0128180000e-04
2.4284805000e+03    1.1677970000e-04
2.4286975000e+03    5.9400900000e-05
2.4289183000e+03    2.1852500000e-04
2.4290354000e+03    1.8952300000e-04
2.4292015000e+03    4.2478870000e-04
2.4292691000e+03    4.7511700000e-05
2.4295237000e+03    2.1420330000e-04
2.4298817000e+03    5.7482000000e-05
2.4299133000e+03    7.2356300000e-05
2.4303031000e+03    2.1051060000e-04
2.4304187000e+03    7.9965900000e-05
2.4304857000e+03    2.6068000000e-05
2.4308097000e+03    1.8893500000e-05
2.4308954000e+03    1.0598470000e-04
2.4311402000e+03    2.4194030000e-04
2.4314816000e+03    3.2737200000e-04
2.4316886000e+03    8.0044630000e-04
2.4318259000e+03    6.6340580000e-04
2.4320570000e+03    7.4474690000e-04
2.4323473000e+03    3.1700390000e-04
2.4324895000e+03    2.5392530000e-04
2.4329889000e+03    1.0180450000e-04
2.4331326000e+03    1.8877200000e-05
2.4334969000e+03    1.4683710000e-04
2.4336836000e+03    4.3122500000e-04
2.4341244000e+03    7.9481900000e-05
2.4342334000e+03    2.6388770000e-04
2.4343120000e+03    1.5133230000e-04
2.4346453000e+03    9.9632100000e-05
2.4347850000e+03    1.0100890000e-04
2.4349597000e+03    1.1162400000e-04
2.4350092000e+03    6.0922920000e-04
2.4352902000e+03    4.9307600000e-05
2.4355422000e+03    4.0778850000e-04
2.4355786000e+03    7.2305200000e-05
2.4357431000e+03    3.4545690000e-04
2.4359598000e+03    3.5781900000e-05
2.4365721000e+03    3.7591000000e-06
