# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4205705000e+03    7.3470870000e-04
2.4227005000e+03    3.0890805000e-03
2.4232195000e+03    2.7613339000e-03
2.4243809000e+03    2.3275549000e-03
2.4247336000e+03    2.0456125000e-03
2.4254685000e+03    6.6502710000e-04
2.4260325000e+03    6.5823780000e-04
2.4266072000e+03    2.7537070000e-04
2.4269635000e+03    2.2963540000e-04
2.4275599000e+03    1.4383320000e-04
2.4287688000e+03    1.1289661000e-03
2.4292059000e+03    1.0943134000e-03
2.4293397000e+03    1.2010802000e-03
2.4305211000e+03    3.8563260000e-04
2.4310429000e+03    2.1562959000e-03
2.4311959000e+03    1.7147208000e-03
2.4314688000e+03    4.5489380000e-04
2.4318566000e+03    4.1617400000e-04
2.4325748000e+03    5.9281910000e-04
2.4333207000e+03    3.1074370000e-04
2.4340585000e+03    1.1521960000e-04
2.4343980000e+03    3.4400000000e-05
2.4346176000e+03    1.9268380000e-04
2.4348869000e+03    6.2887800000e-05
2.4352571000e+03    2.5701860000e-04
2.4353869000e+03    4.1155080000e-04
2.4361083000e+03    2.5708721000e-03
2.4372952000e+03    6.1723600000e-05
2.4376624000e+03    3.0842350000e-04
2.4383336000e+03    2.5312910000e-04
2.4385092000e+03    8.4901750000e-04
2.4390649000e+03    2.1607690000e-04
2.4395106000e+03    6.5061630000e-04
2.4397657000e+03    4.8866890000e-04
2.4402599000e+03    2.7475490000e-04
2.4407277000e+03    5.9433500000e-05
2.4411599000e+03    6.6332100000e-05
2.4416513000e+03    2.7415120000e-04
2.4418406000e+03    1.8775850000e-04
2.4426362000e+03    9.8169000000e-05
2.4433582000e+03    6.6625700000e-05
2.4438560000e+03    6.4547700000e-05
2.4440455000e+03    2.5317010000e-04
2.4447368000e+03    5.5952600000e-05
2.4455702000e+03    1.0040720000e-04
2.4458074000e+03    3.9263700000e-05
2.4470489000e+03    4.7662070000e-04
2.4473473000e+03    4.0750550000e-04
2.4475709000e+03    3.3407340000e-04
2.4483851000e+03    4.7865550000e-04
